DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Sentiment,Value
2023-06-04 21:46:39+00:00,1665475175565885440,Four generations of Schumers celebrating my mom’s 95th birthday today and my granddaughter Ellie’s 1st birthday yesterday! https://t.co/vco2UNq3Lj,SenSchumer,en,,1475,300,7432,57,positive,0.8057000000000001
2023-06-04 16:50:03+00:00,1665400535149625346,"For the first time in 15 years, the @NLLBandits are @NLL champions! Congratulations to the City of Buffalo, the players, and all of Banditland! #LetsGoBandits",SenSchumer,en,['LetsGoBandits'],22,18,105,2,positive,0.9176500000000001
2023-06-03 21:22:15+00:00,1665106646681387008,"To my granddaughter Ellie on your first birthday, you are such a joy! https://t.co/FPQN7WEOmv",SenSchumer,en,,2688,421,11223,108,positive,0.81195
2023-06-02 23:08:34+00:00,1664771014113230848,"Thrilled to join @CMShekarK, @LincolnRestler, members from @NYCCouncil, @NYCParks, and forestry and park advocates to announce our push to secure transformative investment for trees in NYC through $1.5B in urban forestry funding I fought to include in the Inflation Reduction Act! https://t.co/AtAZeYtilz",SenSchumer,en,,81,45,174,4,positive,0.8348
2023-06-02 17:34:06+00:00,1664686842459848706,Thanks to President Biden and Democrats in the Senate and House!,SenSchumer,en,,166,175,807,11,positive,0.7463
2023-06-02 15:18:07+00:00,1664652623234977793,"Jobs are up. ⬆️
Inflation is coming down. ⬇️",SenSchumer,en,,437,193,1120,20,uncertain,0.5
2023-06-02 03:29:10+00:00,1664474209072889858,"We passed this critical legislation to support American families, preserve vital programs, and avoid catastrophic default—and I look forward to President Biden signing it without delay.",SenSchumer,en,,214,161,1010,13,negative,0.35619999999999996
2023-06-02 03:20:23+00:00,1664471999018672128,"House Republicans were ready to take default hostage to pass a radical MAGA agenda.

But because Democrats persisted and kept insisting default is off the table:

We won't be defaulting, and we won't be passing their extreme agenda.

Welcome news for our economy and for families.",SenSchumer,en,,466,280,1681,22,positive,0.86625
2023-06-02 03:15:10+00:00,1664470685224140801,"We prevented a catastrophic default that would have decimated our economy and inflected immense pain on families.

We preserved the lion’s share of the historic investments we made.

We took off the table the worst parts of the MAGA Republican plan that would have hurt families.",SenSchumer,en,,848,453,2669,56,negative,0.043200000000000016
2023-06-01 18:21:14+00:00,1664336318208286733,"The GOP attack on student debt relief is a slap in the face to 43M+ Americans.

They want retroactive payments and interest, to put a stop to future payment pauses, and to jeopardize PSLF eligibility.

We should help Americans with student debt, not make their problems worse.",SenSchumer,en,,1900,653,2397,96,negative,0.4433
2023-06-01 14:01:08+00:00,1664270862772768770,"Happy Pride, everyone!

To the LGBTQ+ community:

We will keep fighting side-by-side with you for true equality and against hatred and bigotry.

We’re so proud of you.

#PrideMonth https://t.co/pqlHl93XFb",SenSchumer,en,['PrideMonth'],2999,415,3138,97,positive,0.87835
2023-05-31 18:34:27+00:00,1663977256048312328,"Senate Republicans talk a big game about helping working families.

But their legislation to deny millions of student loan borrowers the critical relief they need shows how callous and uncaring they are. https://t.co/ovwkMFfiNS",SenSchumer,en,,1108,319,1142,62,uncertain,0.4614
2023-05-31 16:00:03+00:00,1663938399701532673,"The Senate GOP is pushing a terrible measure to end the pause on student loan payments and overturn @POTUS's student loan cancellation program.

It would repeal the pause, force retroactive payments, and jeopardize public service employee eligibility for the PSLF program.",SenSchumer,en,,450,347,923,31,negative,0.26165
2023-05-31 00:25:38+00:00,1663703246639190016,BIG NEWS: This Senate has confirmed 130 of @POTUS’s judicial nominees to serve lifetime appointments on the federal bench!,SenSchumer,en,,1537,1365,8826,111,uncertain,0.5
2023-05-30 22:57:04+00:00,1663680956803194882,CONFIRMED: Darrel Papillion to be a District Judge for the Eastern District of Louisiana!,SenSchumer,en,,77,93,656,2,uncertain,0.5
2023-05-30 21:25:58+00:00,1663658029684862991,"President Biden and Speaker McCarthy's agreement will protect the economy and eliminate the threat of a catastrophic default.

I support this bipartisan agreement. Nobody's getting all they want—but it takes default off the table and protects key investments we've made.",SenSchumer,en,,639,350,1867,41,positive,0.8753
2023-05-29 14:01:51+00:00,1663183878029291520,"We will never forget those who made the ultimate sacrifice serving our nation.

On Memorial Day and every day, we honor those brave service members and their families.

We owe them a debt that we can never truly repay.",SenSchumer,en,,410,207,1610,19,positive,0.7602
2023-05-25 18:05:02+00:00,1661795523567779844,"Thank you, @POTUS. Antisemitism, bigotry, and hatred have no place in this country.",SenSchumer,en,,579,302,1830,32,negative,0.20029999999999998
2023-05-25 16:49:12+00:00,1661776440981876736,"I joined @RepPaulTonko &amp; healthcare leaders from the Capital Region to announce:

We're pushing @CMSGov to finalize the rule change to transform Upstate NY’s Medicare Wage Index formula

It's time our hospitals receive the full reimbursements they deserve

https://t.co/27FE6hIYO1",SenSchumer,en,,104,44,347,4,uncertain,0.5
2023-05-25 16:02:19+00:00,1661764643692462082,"This MAGA Supreme Court is continuing to erode our country’s environmental laws.

Make no mistake—this ruling will mean more polluted water, and more destruction of wetlands.

We’ll keep fighting to protect our waters.",SenSchumer,en,,7012,1172,3149,1174,negative,0.15050000000000002
2023-05-24 19:50:14+00:00,1661459610283171840,"Like flowers love the spring
We love you, Tina

https://t.co/wREqyIrRhC",SenSchumer,en,,93,168,1886,5,positive,0.94895
2023-05-24 18:37:37+00:00,1661441335042211844,"Paws up for the @PaceUniversity Women's Lacrosse team! 🐾🏆

@PaceWLax made history this weekend winning their first-ever @NCAADII Championship.

Congratulations! #SetThePace",SenSchumer,en,['SetThePace'],40,26,126,1,positive,0.94765
2023-05-24 17:17:40+00:00,1661421217335607300,"One year ago today, a terrible mass shooting shook the community of Uvalde, Texas.

We remember the 19 children and 2 teachers murdered at Robb Elementary School.

We won't stop fighting for their families.

We won't stop fighting to end gun violence in America.",SenSchumer,en,,293,183,810,16,negative,0.07214999999999999
2023-05-23 14:46:37+00:00,1661020817759834113,"NEW—GE Vernova's creating 200 good-paying jobs &amp; investing $50M to establish an onshore wind turbine manufacturing line in NY’s Capital Region

I’ve long worked to expand the Capital Region’s wind industry &amp; GE—I’m proud the Inflation Reduction Act helped catalyze this investment",SenSchumer,en,,177,104,447,5,positive,0.8825000000000001
2023-05-22 16:09:04+00:00,1660679179459854336,"To @SenatorCarper and his entire family, thank you for everything you have done for our country. https://t.co/eGjCHv5uSK",SenSchumer,en,,73,55,378,3,positive,0.6806
2023-05-22 01:41:20+00:00,1660460805043658753,Congratulations to the @UBuffalo Class of 2023! Good Luck and Go For It! 🎓 https://t.co/8kcAoS1Ysj,SenSchumer,en,,59,41,309,0,positive,0.9428000000000001
2023-05-19 19:06:19+00:00,1659636619823988736,"Congratulations to all of the graduates from @StonybrookU!

My advice to the Class of 2023 is simple:

Go for it! https://t.co/EempBqrPoB",SenSchumer,en,,119,59,582,2,positive,0.8344
2023-05-18 21:19:29+00:00,1659307746859032580,"Tell me something I don’t know!

https://t.co/kgbmORN8nf",SenSchumer,en,,155,80,417,7,uncertain,0.5
2023-05-18 19:58:29+00:00,1659287361455378433,NEWS: The Senate Democratic Majority has now confirmed 129 of President Biden's judicial nominees!,SenSchumer,en,,648,454,3081,34,uncertain,0.5
2023-05-18 19:15:32+00:00,1659276553614684165,"Thanks to the work of Senate Democrats:

The USDA will invest about $11B in rural electric cooperatives across the country to bring clean, affordable, and reliable energy to rural communities—making it the largest investment in rural electric since the New Deal! https://t.co/b8ONdxb2hJ",SenSchumer,en,,140,147,473,8,positive,0.89505
2023-05-18 18:47:05+00:00,1659269393497432094,"The Senate just confirmed Nancy Abudu to serve as a Circuit Court Judge for the Eleventh Circuit!

She will break barriers as the first Black woman to sit on the Eleventh Circuit.",SenSchumer,en,,423,201,1605,27,uncertain,0.5
2023-05-18 16:21:39+00:00,1659232792767610882,"I met yesterday with a bipartisan group of Senators on spearheading our efforts for comprehensive AI legislation.

AI has the power to unlock marvels in medicine, business, national security, science, and more.

But if left unchecked, AI also has the power to do tremendous harm.",SenSchumer,en,,125,77,459,11,negative,0.27155
2023-05-18 00:20:29+00:00,1658990908644237314,"NEWS: This Senate is advancing the nomination of Nancy Abudu to serve as a Circuit Judge for the Eleventh Circuit!

She would make history as the first Black woman to serve on the Eleventh Circuit.",SenSchumer,en,,361,256,1448,17,uncertain,0.5
2023-05-17 21:29:27+00:00,1658947865828372480,"Today is International Day Against Homophobia, Transphobia, and Biphobia

I'm proud to stand with the LGBTQ+ community today and every day, and I'll never stop fighting to protect the rights of LGBTQ+ Americans #IDAHOTB",SenSchumer,en,['IDAHOTB'],434,107,642,20,positive,0.9135
2023-05-17 19:22:21+00:00,1658915878849716235,CONFIRMED✅ Jeremy Daniel to serve as a District Judge for the Northern District of Illinois!,SenSchumer,en,,68,63,503,3,uncertain,0.5
2023-05-17 18:27:05+00:00,1658901971359735827,"We honor fallen hero NYPD Officers Wilbert Mora and Jason Rivera, and we honor NYPD Officer Sumit Sulan.

Thank you @POTUS for awarding them all the Medal of Valor.",SenSchumer,en,,43,49,233,1,positive,0.9716
2023-05-17 17:43:59+00:00,1658891124377886745,"You shouldn’t have to choose between your health and your job.

I’m standing with @GillibrandNY, @SenSanders, @RosaDeLauro, and more to fight for #PaidLeave for all.

As Majority Leader, I have fought tooth and nail to make this a reality, and I won’t stop until we get it done. https://t.co/clawGzkK92",SenSchumer,en,['PaidLeave'],359,190,700,30,negative,0.1255
2023-05-17 16:45:01+00:00,1658876283294449668,"The Senate is moving forward on the nominations of two highly regarded and skilled litigators with impressive credentials:

Jeremy Daniel as a District Judge for the Northern District of Illinois

Darrell Papillion as a District Judge for the Eastern District of Louisiana",SenSchumer,en,,77,69,423,2,positive,0.7553000000000001
2023-05-17 15:44:48+00:00,1658861129882279938,"Republicans just keep showing us over and over that they want to ban abortion across America.

Democrats will not back down.

Democrats will not stop fighting for women’s healthcare, for a woman’s right to choose.

https://t.co/i5KdfdyXJ9",SenSchumer,en,,1112,835,3841,64,uncertain,0.46115
2023-05-16 16:18:23+00:00,1658507193501597696,"The Senate is moving ahead on three more of @POTUS's judicial nominees:

Nancy Abudu to be Circuit Judge for the Eleventh Circuit
Darrel Papillion to be District Judge for the Eastern District of Louisiana
Jeremy Daniel to be District Judge for the Northern District of Illinois",SenSchumer,en,,229,119,766,7,uncertain,0.5
2023-05-16 16:07:15+00:00,1658504392121757697,"All New York today tips its hat to Bill Perkins, a true public servant. Bill always stood up for what he believed and was a fierce champion for Harlem in City Hall and Albany, and he leaves an indelible legacy across our city and our state.",SenSchumer,en,,44,43,259,0,positive,0.88585
2023-05-15 22:47:49+00:00,1658242811420897280,"Let me give Sen. Tuberville a hint on defining white nationalists:

The man who murdered 10 people at a Buffalo market

The insurrectionists who waved Confederate flags in our Capitol

Those who chanted ""Jews will not replace us"" in Charlottesville

Those were white nationalists",SenSchumer,en,,4025,1573,6347,146,negative,0.17015000000000002
2023-05-15 22:37:28+00:00,1658240208549101568,"When asked to clarify, GOP Senator Tuberville responded: “What is a white nationalist?”

Are you kidding me?

Then he followed up: “I look at a white nationalist as a Trump Republican”

Senate GOP must denounce his words and tell him to drop his holds on military appointments now https://t.co/XEhRm5C1aG",SenSchumer,en,,640,946,2787,54,negative,0.2319
2023-05-15 22:29:48+00:00,1658238276992466944,"Big news—The Senate just confirmed Bradley Garcia to serve as a Circuit Court Judge for the all-important DC Circuit!

He has a wealth of public and private legal experience defending civil and human rights!

And he makes history as the 1st-ever Latino to serve on the DC Circuit!",SenSchumer,en,,547,254,1886,22,positive,0.8392
