DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Sentiment,Value
2023-06-02 02:56:45+00:00,1664466049486540800,"Tonight, the Senate voted to avoid default and begin to curb Washington Democrats' addiction to reckless spending. Four months after @SpeakerMcCarthy invited @POTUS to begin negotiations, an important step toward fiscal sanity will finally become law.

Full statement: https://t.co/hkoFvHUvKv",LeaderMcConnell,en,,567,43,265,43,negative,0.26165
2023-06-01 15:27:29+00:00,1664292591804854273,".@POTUS' student loan socialism would shift hundreds of billions of dollars in debt from high earners who chose to incur it onto American taxpayers who did not. But thanks to the leadership of @SenBillCassidy, @JohnCornyn, and @SenJoniErnst, the Senate has a chance to stop this.",LeaderMcConnell,en,,314,56,255,23,negative,0.18395
2023-06-01 01:28:52+00:00,1664081545945071618,"House Republicans’ unity forced @POTUS to negotiate with @SpeakerMcCarthy and agree to cut government spending. Tonight’s passage of the Fiscal Responsibility Act is an important step in the right direction. Now, it’s the Senate’s turn to pass this agreement without delay.",LeaderMcConnell,en,,1015,60,363,81,positive,0.8005
2023-05-30 21:02:07+00:00,1663652030135533570,".@SpeakerMcCarthy and House Republicans secured a crucial first step toward bringing Washington Democrats’ reckless spending to heel. Their unity forced President Biden to do his job. And soon, it will be the Senate’s turn to pass this important agreement.",LeaderMcConnell,en,,791,38,216,63,positive,0.648
2023-05-29 13:00:03+00:00,1663168326594617345,"On Memorial Day, we honor the brave servicemen and women who laid down their lives for our country. Today and every day, let us honor the sacrifices so many heroes have made in preservation of our freedom.",LeaderMcConnell,en,,167,24,189,4,positive,0.97785
2023-05-28 23:52:12+00:00,1662970056714727431,"Today’s agreement ensures that a debt limit increase comes with serious steps to rein in Washington Democrats’ addiction to reckless spending. The Senate must act swiftly and pass this agreement without unnecessary delay.

Full statement: https://t.co/Kkh2VpeSIZ",LeaderMcConnell,en,,707,56,345,74,positive,0.8926499999999999
2023-05-25 18:23:47+00:00,1661800243690700810,"The Supreme Court’s decision in Sackett v. EPA provides long-awaited relief and much-needed clarity for millions of small businesses and landowners on the limits of the federal government’s WOTUS regulations.

Full statement: https://t.co/HHP17NN4on",LeaderMcConnell,en,,153,36,180,7,positive,0.9277500000000001
2023-05-19 15:44:19+00:00,1659585787246125059,.@POTUS waited months before agreeing to negotiate with @SpeakerMcCarthy on a spending deal. They are the only two who can reach an agreement. It is past time for the White House to get serious. Time is of the essence.,LeaderMcConnell,en,,874,69,365,72,positive,0.82985
2023-05-18 18:33:00+00:00,1659265846940938240,"As @POTUS meets in Japan with our strongest economic partners, I hope he will build on the West’s support for Ukraine by clearing the way for the transfer of critical weapons. We must move at the speed of relevance to help them liberate their territory from Russian occupation.",LeaderMcConnell,en,,379,83,471,34,positive,0.8592
2023-05-18 16:54:16+00:00,1659240999221092352,"As our nation's capital continues to grapple with a rising tide of violent crime, the left-wing D.C. Council wants to make law enforcement’s job even tougher. But this Police Week, the Senate rejected the D.C. Council’s new radical law on a bipartisan basis.",LeaderMcConnell,en,,126,15,79,6,negative,0.0842
2023-05-18 15:24:37+00:00,1659218439167262721,"Washington Democrats’ reckless spending and green energy fantasies are sending our economy deep into the red. Since @POTUS took office, prices have climbed a staggering 16%. Americans have had to tighten their belts just to get by. It’s time for this Administration to do the same.",LeaderMcConnell,en,,436,46,210,41,negative,0.42345
2023-05-17 15:51:15+00:00,1658862753132445697,"During National Police Week, Senate Democrats want to make an anti-police activist a federal judge. Nancy Abudu’s disregard for the rule of law should be disqualifying for anyone seeking a lifetime appointment to the federal bench.",LeaderMcConnell,en,,204,28,148,15,negative,0.39885
2023-05-17 15:12:16+00:00,1658852943569747968,"This week’s G7 meetings are a chance for @POTUS to rally our closest allies with real American leadership – to help Ukraine win, to deter Iran’s violence at home and abroad, and to meet China’s malign influence with united resolve. I hope he will seize this opportunity.",LeaderMcConnell,en,,170,29,146,6,positive,0.96595
2023-05-15 20:16:26+00:00,1658204712724733952,"Proud to welcome law enforcement officers and families from KY and across the nation to Washington for National Police Week. Especially on National Peace Officers' Memorial Day, we honor the brave men and women in blue who have laid down their lives to protect our communities.",LeaderMcConnell,en,,160,11,96,6,positive,0.9794
2023-05-14 13:00:00+00:00,1657732493867376640,Happy Mother's Day to all of the amazing mothers in Kentucky and across the country. Thinking especially of my mom Dean today. https://t.co/DoVglRyLI0,LeaderMcConnell,en,,129,27,291,6,positive,0.9088
2023-05-11 19:30:00+00:00,1656743476212682754,.@POTUS’ reckless policies have led to chaos on our southern border. And now the situation is about to get much worse with Title 42 going away. Last year Democrats had a chance to keep Title 42 in place but voted in lock-step against it. The country reaps what Democrats sowed.,LeaderMcConnell,en,,496,48,241,22,negative,0.21055000000000001
2023-05-11 18:23:18+00:00,1656726691748642840,"The NDAA is must-pass legislation. But Senate Dems are letting our national security languish. Instead, Democrats are making a push for a grab bag of liberal domestic priorities they want to label as another “China bill.” When will they get serious about competing with China?",LeaderMcConnell,en,,130,16,71,5,positive,0.7383500000000001
2023-05-11 17:34:09+00:00,1656714320850427906,"This latest version of Democrats’ so-called ‘Clean Power Plan’ poses an existential threat to providers of affordable and reliable American energy. Working Americans cannot afford this — and Kentuckians and West Virginians least of all.

Full statement: https://t.co/ZycvrlFGyL",LeaderMcConnell,en,,109,27,73,7,negative,0.3409
2023-05-09 20:47:37+00:00,1656038233057243136,There’s no reason why our country should be drifting towards crisis. The solution is clear: a bipartisan deal between @POTUS and @SpeakerMcCarthy. Just like how seven of the last ten debt limit increases were attached to bipartisan spending deals. It’s up to @POTUS to now negotiate.,LeaderMcConnell,en,,810,71,455,43,negative,0.32999999999999996
2023-05-09 18:35:59+00:00,1656005109506101248,"It’s with deep sadness that Elaine and I learned of the loss of the great University of Louisville Men’s Basketball coaching legend Denny Crum. We send our deepest sympathies to his wife Susan and all of his friends and family.

Full statement: https://t.co/HkrsjpIbQn",LeaderMcConnell,en,,54,11,75,3,positive,0.7294
2023-05-06 13:07:17+00:00,1654835222725181447,"Today, the very best of the Bluegrass is on full display. Our best Thoroughbreds meet under the Twin Spires of Churchill Downs for the 149th Kentucky Derby, the greatest two minutes in sports. I look forward to joining the rest of the country in watching this proud Kentucky tradition.",LeaderMcConnell,en,,242,22,195,16,positive,0.97765
2023-05-04 21:45:43+00:00,1654240917283381250,"Democrats talk about infrastructure and competing with China, but they give activists veto power over our ability to make and build things in America. The Empire State Building was built in about a year. Now it can take 4+ years just to get an Environmental Impact Statement.",LeaderMcConnell,en,,322,143,1012,125,positive,0.72485
2023-05-03 21:33:15+00:00,1653875392124420098,The Senate's about to vote on two of President Biden's regulations. One holds farmers and ranchers hostage to a bird called the lesser prairie-chicken. The other went soft on China for the sake of the Green New Deal. We need to stand up for working Americans and repeal both.,LeaderMcConnell,en,,332,55,291,31,uncertain,0.5
2023-05-03 15:45:31+00:00,1653787881423380487,"Democrats want to criticize the House bill, but they have no solution and no plan to prevent a crisis. President Biden has been M.I.A. while our nation drifts toward default on his watch. The President needs to either endorse the House bill or negotiate with @SpeakerMcCarthy now.",LeaderMcConnell,en,,544,56,295,39,negative,0.07145000000000001
2023-05-02 22:15:00+00:00,1653523509510021120,".@SpeakerMcCarthy reminded everyone yesterday of his ongoing support for aid to Ukraine. Equipping Ukraine to defend itself is a direct investment in American jobs and our own national security. But at every turn, the Biden Admin has dragged its heels. @POTUS must get serious.",LeaderMcConnell,en,,483,41,189,81,positive,0.60115
