DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-02 15:32:17+00:00,1664656189165109250,"On National Gun Violence Awareness Day, let’s honor the victims of gun violence – and do what we can to prevent even more tragedies.

Keep using your voice to call for change, keep voting, keep urging Congress to take action. And support the work of organizations like @Everytown at https://t.co/ZeIwEtHyJx.",BarackObama,en,,8127,5226,27605,490
2023-05-31 19:42:28+00:00,1663994370134278144,"I had fun answering some questions about my work journey. Check it out, and then make sure to watch Working: What We Do All Day on Netflix. https://t.co/yZY8NygXVD",BarackObama,en,,3572,3709,29588,342
2023-05-30 18:32:53+00:00,1663614474106929154,"My sister Maya and I had the chance to speak with the talented Asia-Pacific Obama Leaders about leadership, the values that are important to us, and the work they're doing to lift up their communities. 

Take a look at our conversation: https://t.co/YXtqIm1kt8",BarackObama,en,,2140,2503,18196,185
2023-05-29 14:30:00+00:00,1663190960325443587,"This Memorial Day, take a moment to honor the brave Americans who have served our country and given their lives for our freedom. May God bless our fallen heroes, their families, and all who serve. https://t.co/KamJVWRwIE",BarackObama,en,,4378,9048,68629,391
2023-05-26 20:47:39+00:00,1662198836373192707,"The rise of antisemitic attacks should alarm all of us. Antisemitism and bigotry - like all forms of hate - have no place in our world, and it’s on each of us to combat this growing threat. @POTUS is right to take on this issue, and he deserves our support. https://t.co/HY5xrpnS2g",BarackObama,en,,17391,11754,67465,1115
2023-05-26 15:35:41+00:00,1662120328275828739,"If you need a reminder that elections have consequences, check out what's happening in Minnesota.

https://t.co/JCMdLRantC",BarackObama,en,,5468,8098,40900,1040
2023-05-25 20:07:19+00:00,1661826299806076929,"Today I’ll be speaking with @IraGlass, Caroline Suh, and some of the great folks featured in the @HGMedia and Netflix documentary series, Working: What We Do All Day about finding meaning and purpose in work.

Check out our conversation on LinkedIn at 5pm ET. https://t.co/dqBZu7ngZ7",BarackObama,en,,1056,1328,9554,74
2023-05-25 13:03:40+00:00,1661719685644124161,"Our democracy is stronger because of the work @EricHolder and the @DemRedistrict have done—and they’re not slowing down. Yesterday, they announced 13 new priority states in the fight for fair maps. 
https://t.co/hbb4iwHhcc",BarackObama,en,,2971,2165,12357,186
2023-05-24 23:30:18+00:00,1661514993383120896,"Tina Turner was raw. She was powerful. She was unstoppable. And she was unapologetically herself—speaking and singing her truth through joy and pain; triumph and tragedy. Today we join fans around the world in honoring the Queen of Rock and Roll, and a star whose light will never fade.",BarackObama,en,,8765,54841,480320,3001
2023-05-23 23:32:20+00:00,1661153116882870272,"Michelle and I were saddened to learn about the passing of Bob Zimmer, the 13th President of the University of Chicago. 

Bob was a visionary leader and one the most influential university presidents in the country. During his time at the University of Chicago, he built upon its rigorous academic reputation, grew the university’s footprint around the world and throughout the South Side, and helped expand access through scholarships and financial aid.",BarackObama,en,,2726,3136,35428,138
2023-05-19 21:05:36+00:00,1659666639351078912,"I was too young to remember Jim Brown’s playing days, but I knew his legacy. One of the greatest football players ever, he was also an actor and activist – speaking out on civil rights, and pushing other Black athletes to do the same. Our thoughts are with Jim’s wife Monique, his children, and everyone who knew and admired him.",BarackObama,en,,4564,4119,41108,240
2023-05-19 15:33:04+00:00,1659582955776274433,"In Working: What We Do All Day, I sat down with Luke to hear about his work, listen to some of his tracks, and discuss the life he wants for himself. You can watch this conversation and more in this new series now on Netflix. https://t.co/V8Lz6Lm0O8",BarackObama,en,,1122,1493,9873,104
2023-05-17 16:44:28+00:00,1658876146199429123,"As a college student, I was inspired by Studs Terkel’s book, Working, which chronicled what ordinary people did for a living.

Working: What We Do All Day from @HGMedia is a new series that builds on that idea – sharing the stories of people from different walks of life, and giving you a window into the jobs they do every day. https://t.co/USAoi7CkB7",BarackObama,en,,4937,6703,53853,560
2023-05-16 23:30:32+00:00,1658615949241597953,"I'm thrilled to share that our latest show from @HGMedia, 'Working: What We Do All Day', will be out on Netflix tomorrow. This show shares the powerful stories of everyday Americans and their relationship with work. I can’t wait for you to watch. https://t.co/Fv0DaECDjF",BarackObama,en,,3604,5253,39852,251
2023-05-16 19:16:59+00:00,1658552142670577666,"It was great talking to @NateBurleson about our work at the @MBK_Alliance. I'm proud of the hundreds of MBK communities across the country that are identifying barriers and helping young men and boys of color succeed. 

https://t.co/kLFrpKvoIx",BarackObama,en,,1829,2112,13937,105
2023-05-14 13:01:51+00:00,1657732958436859906,"Happy Mother’s Day! I hope you take a moment to appreciate all the moms and mother-figures in your life – and be there for people who may be missing theirs.

To @MichelleObama, thanks for being such an amazing mom to our beautiful girls. You set an incredible example for all of us.",BarackObama,en,,17174,25907,375419,1755
2023-05-12 23:30:37+00:00,1657166419555909632,"I always love being in Chicago and having the opportunity to meet with folks on the South Side who are helping transform their communities. 

I had a lot of fun, too. Take a look. https://t.co/KiexeLogvK",BarackObama,en,,7725,5222,38778,601
2023-05-11 19:02:25+00:00,1656736535926931469,"Visiting Lilydale First Baptist Church took me back to my time as a community organizer. This is the neighborhood where I began my career in public service. 

It was even more special to celebrate the graduation of our @Columbia and @UChicago Obama Scholars—a smart and passionate group of young people who are picking up the baton and working to create sustainable change.",BarackObama,en,,1003,1602,11683,69
