DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-06 16:00:17+00:00,1666112783069446145,"New merch in the @onwardtogether store: 

LGBTQ rights are human rights. 

Grab a shirt or tote to show your Pride, and support groups working for equality and dignity for all. https://t.co/pEkZtpjiFW https://t.co/uEorL9S7zb",HillaryClinton,en,,299,157,830,16
2023-06-02 15:22:47+00:00,1664653798193745924,"Thanks to President Biden's bipartisan debt ceiling deal:

✅ Social Security checks will go out on time
✅Veterans who risked their lives for our nation will get the benefits they deserve
✅Our nation’s most vulnerable will continue to have access to the health care they need",HillaryClinton,en,,5152,1332,6632,228
2023-05-31 20:17:06+00:00,1664003087328223232,"Care work makes all other work possible. Take some time for this great conversation with @aijenpoo, of @onwardtogether partner @domesticworkers, about how to make the care economy work for everyone.",HillaryClinton,en,,260,207,946,13
2023-05-29 14:00:58+00:00,1663183655731343362,"Remembering today the millions of Americans who’ve served our country in the military across generations, as well as their families—and especially those who lost their lives defending our freedom.",HillaryClinton,en,,0,855,5534,1483
2023-05-25 21:21:06+00:00,1661844867843264512,"Love this from @reshmasaujani:

“Imposter syndrome isn’t my problem to solve. And it isn’t yours, either.”",HillaryClinton,en,,0,210,824,43
2023-05-24 19:42:24+00:00,1661457639669399552,"So grateful today to be with @ForRecovery, an incredible partner with @ClintonGlobal and @DirectRelief in getting 20,000 doses of naloxone into the community in Nevada. Thanks, Las Vegas, for the warm welcome—it’s always wonderful to be here! https://t.co/3xM8Al5rl7",HillaryClinton,en,,1,261,1356,26
2023-05-24 17:10:06+00:00,1661419314015244289,"Congressional Republicans claim their debt limit hostage-taking is motivated by concerns about fiscal responsibility.

But new CBO estimates show their plan to extend the Trump tax cuts without paying for them would add $3.5 trillion to the debt over the next 10 years.

Oops!",HillaryClinton,en,,14238,5748,15772,648
2023-05-23 19:17:55+00:00,1661089092388683779,"Eighty-six percent of transgender and nonbinary young people have said the recent raft of anti-trans bills have negatively affected their mental health. 

Yesterday's #TransProm was a beautiful, defiant demonstration of the joy of being exactly who you are. https://t.co/1rCyVDzSDW",HillaryClinton,en,['TransProm'],0,623,2726,681
2023-05-23 16:28:46+00:00,1661046522434449408,"Ron DeSantis's ultra-MAGA Florida isn't safe for people of color, LGBTQ+ people, or even multi-billion dollar corporations. https://t.co/1sxKM5W9ol",HillaryClinton,en,,0,1582,6063,3671
2023-05-22 18:07:10+00:00,1660708899874574337,"Let's be clear: 

Extreme MAGA Republicans are refusing to pay America’s bills. 

And they're threatening default in the hopes of achieving cuts to critical programs that they could never get through the normal democratic process. 

It's economic hostage-taking.",HillaryClinton,en,,0,3771,11610,483
2023-05-18 13:11:10+00:00,1659184855211560960,"Thank you to @Mara_Webster and the @TelevisionAcad for a wonderful conversation about ""Gutsy,"" our @AppleTV+ series. 

Shining a light on the inspirational stories of women all over the world is an absolute privilege, and it's been a profound gift to do it with @ChelseaClinton. https://t.co/R7PayJG8Nl",HillaryClinton,en,,0,281,1475,73
2023-05-17 15:23:15+00:00,1658855709927145475,We cannot allow MAGA Republicans to tank our economy.,HillaryClinton,en,,3295,1736,7692,208
2023-05-16 18:31:41+00:00,1658540738945118208,Be there with bells on!,HillaryClinton,en,,11603,865,7991,543
2023-05-16 16:20:43+00:00,1658507783388405762,"A beautiful post-Mother's Day read: Ashley Judd on her late mother, Naomi, and how she's learned to make this irreplaceable loss serve her mother's legacy.
https://t.co/BtyRegI6fv",HillaryClinton,en,,1083,351,2164,33
2023-05-16 13:29:46+00:00,1658464759245578241,"If MAGA Republicans force a default, the catastrophe consequences for our economy could include:

🚨6 million jobs lost
🚨The unemployment rate surging to over 7%
🚨Plummeting stock prices, threatening millions of Americans' retirement savings https://t.co/ehbTtIcRtt",HillaryClinton,en,,35502,6904,15346,1800
