DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-03 20:27:50+00:00,1665092953864372226,"👀

The U.S. is drifting into a dangerous period with a vulnerable military.

https://t.co/4TvSxbYJcy",LindseyGrahamSC,en,,468,30,170,23
2023-06-01 16:25:44+00:00,1664307248875675650,"I fear this story will prove to be accurate and will show that withdrawing from Afghanistan and altering AUMFs sends a signal of weakness and retreat to Americas’ enemies.

https://t.co/rowXX44CDq",LindseyGrahamSC,en,,316,39,198,14
2023-06-01 15:51:48+00:00,1664298709230710784,"Now speaking on the Senate floor about funding the military and the debt limit.

WATCH:
https://t.co/W2XDv8HYjn",LindseyGrahamSC,en,,246,11,108,11
2023-06-01 01:03:19+00:00,1664075118031544321,Speaking with @seanhannity in just a few minutes.,LindseyGrahamSC,en,,259,10,98,10
2023-05-31 15:07:11+00:00,1663925094446510081,"There are many statements coming out of Washington that should be met with skepticism and scorn. 

On the top of my list is the statement by President Biden and his administration that the border is secure.",LindseyGrahamSC,en,,249,25,201,10
2023-05-30 18:25:41+00:00,1663612661383176197,Great visit with the British National Security Advisor Tim Barrow. We have a common view that Ukraine has exceeded every expectation and Russian forces have been bloodied and weakened in Ukraine.,LindseyGrahamSC,en,,619,193,1789,28
2023-05-30 17:47:14+00:00,1663602984238948352,"Very much appreciate the kind words by Ukrainian President Zelensky recognizing America’s Memorial Day and honoring those who’ve made the ultimate sacrifice for freedom.  

https://t.co/FVqm961Zmd",LindseyGrahamSC,en,,1081,497,5530,67
2023-05-29 21:32:00+00:00,1663297159561715718,Good news and bad news about Russian efforts to arrest and try me for speaking the truth.,LindseyGrahamSC,en,,1117,137,1769,72
2023-05-29 18:05:00+00:00,1663245067509694477,I will use all powers available to me in the Senate to have amendment votes to undo this catastrophe for defense. I support raising the debt limit for 90 days to give us a chance to correct this disaster for defense.,LindseyGrahamSC,en,,1006,55,490,67
2023-05-29 18:00:01+00:00,1663243812544684034,"How far the Party of Ronald Reagan has fallen. 

The Biden defense budget has been ridiculed by Republicans for over a year.",LindseyGrahamSC,en,,597,62,769,36
2023-05-29 17:50:00+00:00,1663241292141166600,"Really appreciate Rep. Banks’ accurate criticism of the Biden defense budget from February of this year

https://t.co/bFCBQDQrtP",LindseyGrahamSC,en,,49,8,76,1
2023-05-29 17:40:00+00:00,1663238775567155224,"To my Republican House colleagues: please stop saying the Biden defense budget fully funds our defense needs. 

Such statements are a betrayal to the Party of Ronald Reagan, and inconsistent with past criticism of the Biden budget. 

Stop playing games with our defense needs.",LindseyGrahamSC,en,,624,40,375,34
2023-05-29 17:29:38+00:00,1663236166928179200,"With all due respect to Senator McConnell, who gave us the first sequestration debacle in 2011, adopting the Biden defense budget is not good for our national security needs. 

Mitch was wrong in 2011 and he’s wrong now.",LindseyGrahamSC,en,,181,30,283,9
2023-05-29 13:17:08+00:00,1663172622891220993,"I will wear the arrest warrant issued by Putin’s corrupt and immoral government as a Badge of Honor. 🏅  

https://t.co/0L2I5PfuoM",LindseyGrahamSC,en,,3506,1528,12599,435
