DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-06 14:00:53+00:00,1666082737395212289,"I’m excited to share that Madison Corzine is the first-ever recipient of the Michelle Obama Award for Memoir!

Madison is a recent graduate from Timber Creek High School in Fort Worth, Texas. In the fall, she will be attending @SpelmanCollege, where she plans to study English and Political Science in hopes of becoming a civil rights attorney.

It’s not easy to be vulnerable about your life and open with the world. That’s why I was so moved by Madison’s fearless writing. I’m so proud of her and can’t wait to see all that she accomplishes while at Spelman this fall.",MichelleObama,en,,179,370,3349,18
2023-06-05 20:04:12+00:00,1665811782609321988,"When I sat down to write #TheLightWeCarry, my hope was this book would provide readers with the tools, practices, and attitudes that will help them on their own journeys. And these were exactly the kind of conversations I loved sharing on The Light Podcast with some of my closest friends.",MichelleObama,en,['TheLightWeCarry'],2447,1222,12496,119
2023-06-03 15:00:42+00:00,1665010628765925384,"Happy birthday, Jill! We are all so lucky to have such a kind and thoughtful @FLOTUS like you leading the way. So grateful for your friendship, and wishing you a wonderful birthday! 💕 https://t.co/4xT72LvOKm",MichelleObama,en,,3798,4845,51277,281
2023-06-02 18:00:44+00:00,1664693544626401280,"I wanted to congratulate the students in the Class of 2023 who joined My School Votes during their time in high school! 

These young leaders spent the last few years registering their classmates to vote, educating them about the issues on their ballot, and ensuring their peers will make their voices heard at the polls. 

I'm so proud of everything they've done and can’t wait to see where they shine their light next. 🎓🎉",MichelleObama,en,,245,472,4174,34
2023-05-30 16:00:36+00:00,1663576147651592195,"Class of 2023—you did it! 🎉👏🏾

You worked hard, persevered, and finally made it to your graduation day. I am so proud of you and everything it took to bring you to this moment.",MichelleObama,en,,522,567,6290,42
2023-05-23 17:41:56+00:00,1661064934959071252,"Through @WhenWeAllVote's My School Votes, high school junior Imani Johnson found her passion for helping her peers discover the power in their vote and their voice.

Read her story in @TeenVogue: https://t.co/2chzeBSwlI",MichelleObama,en,,439,653,3203,25
2023-05-22 20:00:48+00:00,1660737495124922399,"For 17 years, @RachaelRay has brought so much warmth and joy to people’s homes through the @RachaelRayShow. I’m so thankful for all the memories we’ve made together. Good luck with the journey ahead. I know the next chapter will be just as big as the last! ✨",MichelleObama,en,,425,445,4029,23
2023-05-19 00:49:59+00:00,1659360720725712896,"I hope you’ll watch Working: What We Do All Day—our latest documentary series from @HGMedia streaming now on Netflix. 

In this series, Barack sits down with people working across industries to understand their jobs, their connection to work, and explore what motivates them. https://t.co/BlI51w5gMS",MichelleObama,en,,447,541,3660,27
2023-05-14 13:30:29+00:00,1657740166448963587,"Happy Mother’s Day! 💕

Being a mom to Malia and Sasha has been the greatest gift of my life, and I am forever grateful to my mom for teaching me the importance of courage, empathy, and hard work—lessons that I’ve passed down to my own girls. 

To all the moms out there, I hope you continue to kindle and nurture your bright light. Have a wonderful day.",MichelleObama,en,,4737,3416,55176,278
2023-05-11 20:57:24+00:00,1656765471234969601,"Meet Whitney—a member of the @GirlsAlliance from Kenya. Her mother didn’t have the opportunity to finish school, but she ensured that things would be different for her daughter. https://t.co/CMcpKa5dcd",MichelleObama,en,,226,419,2552,19
