DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Sentiment,Value
2023-02-26 17:43:00+00:00,1629899848425013251,"The COVID vaccine is free, easy, accessible, and will help keep you and your family safe. Get your updated vaccine by visiting https://t.co/sohfL3zr12.",KamalaHarris,en,,437,342,2016,23,positive,0.7135416666666667
2023-02-18 22:10:01+00:00,1627067940066705413,"Everyone 6 months and older should get the updated COVID-19 vaccine to stay healthy and protected.

Go to https://t.co/sohfL3zYQA to find a vaccine provider near you.",KamalaHarris,en,,865,355,2262,53,positive,0.6277777777777778
2022-12-17 15:28:01+00:00,1604136338076291072,"The COVID vaccine is free, easy, accessible, and will help keep you and your family safe during the holiday season. Get your updated vaccine by visiting https://t.co/sohfL3R1SA.",KamalaHarris,en,,960,381,2265,47,positive,0.7135416666666667
2022-12-15 15:08:03+00:00,1603406539079000073,"There’s still time to get your updated COVID vaccine before Christmas so you can celebrate the holidays safely. 

Visit https://t.co/sohfL3zr12 to find an appointment near you.",KamalaHarris,en,,330,213,1015,19,positive,0.65
2022-07-06 18:42:00+00:00,1544753549254721536,"Parents can now get their children under five years old a COVID-19 vaccine, protecting them from this virus. 

This is an enormous step forward in our fight to defeat this virus. Go to https://t.co/sohfL3zYQA for more information.",KamalaHarris,en,,223,253,1339,23,positive,0.6
2022-07-02 21:40:00+00:00,1543348792019361792,"Children under five years old are now eligible to receive a COVID-19 vaccine. 

The vaccine is safe and effective and will help protect our kids and the community against this virus. Visit https://t.co/sohfL3zr12 for more information.",KamalaHarris,en,,318,353,1924,22,positive,0.7125
2022-02-06 19:56:00+00:00,1490413992401158144,"With free-at-home COVID-19 tests available to households across the country who sign up, you and your family will be able to test from your home. 

Visit https://t.co/Peq1SEiXEt and order yours today.",KamalaHarris,en,,567,387,2137,65,positive,0.725
2022-02-04 01:12:00+00:00,1489406351243628546,"If you are unvaccinated and test positive for COVID-19, you are 17 times more likely to be hospitalized.

Get vaccinated if you haven’t already done so, and urge your family members, friends, and neighbors to get vaccinated.",KamalaHarris,en,,879,1330,8978,99,positive,0.6212121212121212
2022-01-19 00:27:00+00:00,1483596821893206017,"Wearing a mask is an important tool to control the spread of COVID-19. 

We can all do our part to help get a hold of the Omicron variant—please stay vigilant and wear a tight-fitting mask.",KamalaHarris,en,,1026,1493,11266,107,positive,0.7
2022-01-14 01:12:00+00:00,1481796207328604164,"Today, President Biden announced that we are in the process of purchasing an additional 500 million more tests to meet future demand. 

The American people will now have more access to convenient COVID-19 at-home tests.",KamalaHarris,en,,1359,1170,9131,185,positive,0.625
2022-01-05 22:02:00+00:00,1478849288952324096,Children ages 12 to 15 are now eligible to receive a COVID-19 booster shot. This is an enormous step forward in our fight to defeat this virus and protect our kids.,KamalaHarris,en,,710,1600,11466,101,uncertain,0.5
2022-01-05 18:00:21+00:00,1478788475285610514,"The COVID-19 vaccine and booster shots are our best defense in ending this pandemic. 

We need everyone to do their part. Please get vaccinated and get your booster shot.",KamalaHarris,en,,1024,1507,11203,166,positive,1.0
2021-12-23 21:25:00+00:00,1474128934790959109,"We are working to ensure that Americans have access to free testing, including convenient COVID-19 at-home tests.",KamalaHarris,en,,944,1546,14054,133,positive,0.7
2021-12-14 14:51:00+00:00,1470768291648000013,"We know the path to controlling COVID-19 and limiting variants: get people vaccinated, get them boosted, and get our children over 5 vaccinated. Now is the time.",KamalaHarris,en,,1222,1826,14071,121,uncertain,0.5
2021-12-10 20:23:00+00:00,1469402289089695746,"Democracy protects human rights and promotes human dignity. It’s a means to create peace and prosperity. It’s a means to solve our greatest challenges, from COVID-19 to the climate crisis. 

Democracy is our world’s best hope.",KamalaHarris,en,,795,1266,7964,79,positive,0.75
2021-12-09 20:12:00+00:00,1469037134405382148,"1️⃣ Expanding the nationwide booster campaign
2️⃣ Launching new family vaccination clinics 
3️⃣ Making at-home tests covered by insurance 
4️⃣ Increasing our surge response teams 
5️⃣ Accelerating our efforts to vaccinate the rest of the world

Together, we can beat COVID-19.",KamalaHarris,en,,506,775,4806,53,positive,0.5681818181818181
2021-12-06 01:54:00+00:00,1467673648517558275,"With free at-home COVID-19 testing, you and your family will be able to test from the comfort of your home and have some peace of mind this holiday season. 
https://t.co/ZI5UPrbnwk",KamalaHarris,en,,527,1094,7853,98,positive,0.725
2021-11-25 21:37:00+00:00,1463985093802967041,"Today, President @JoeBiden and I are thinking about all the families who have an empty seat at Thanksgiving this year after losing a loved one to COVID-19—each of you is in our hearts.",KamalaHarris,en,,1496,3794,43027,183,positive,0.65
2021-11-13 01:20:00+00:00,1459330171983613966,The COVID-19 vaccines are safe and effective—and the best way to protect our kids. Children between the ages of 5-11 are now eligible to get vaccinated.,KamalaHarris,en,,1392,2265,19406,141,positive,0.875
2021-11-04 19:48:00+00:00,1456347519013859329,"Children between the ages of 5 and 11 are now eligible to receive a COVID-19 vaccine. This is an enormous step forward in our fight to defeat this virus. 
https://t.co/EsTtUViqlw",KamalaHarris,en,,542,623,4180,77,uncertain,0.5
