DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-01-06 00:09:00+00:00,1611152819419058178,"Folks, get your updated COVID vaccine.

https://t.co/l9SnrQeUu1.",JoeBiden,en,,5619,1223,8841,334
2022-10-26 22:59:00+00:00,1585405666038005762,"We've made updated COVID-19 vaccines easy to get and available for free at tens of thousands of convenient locations. These include local pharmacies, doctor's offices, community health centers, and rural health clinics.

Find an appointment at https://t.co/EwdQ2dFHwG today.",JoeBiden,en,,877,504,2334,66
2022-08-31 16:02:01+00:00,1565007006443995138,"We’ve come a long way. COVID no longer controls our lives, there are a record number of Americans working, businesses are growing, and our schools are open. 

Even in the face of unrelenting attacks from the most powerful special interests in the country, we got it done.",JoeBiden,en,,5150,2520,16640,1749
2022-07-30 17:04:00+00:00,1553426194326077440,"While COVID is still with us, our fight against this virus is making a difference. We can now protect ourselves from serious illness due to COVID, and COVID deaths are down nearly 90%.",JoeBiden,en,,2260,1878,14583,240
2022-07-29 20:50:13+00:00,1553120735018745857,"These COVID tools are free, convenient, safe, and they work. https://t.co/Y63EqER9b5",JoeBiden,en,,1556,1015,6237,141
2022-07-08 19:04:00+00:00,1545483861173215232,"Today we learned that our private sector has recovered all of the jobs lost during the pandemic, and added more.

There’s more work to do, but this recovery would not have been possible without the actions we took to fix a broken COVID response and pass the American Rescue Plan.",JoeBiden,en,,1565,2300,13279,176
2022-06-29 22:34:00+00:00,1542275218407936006,"COVID-19 vaccinations are available for children under five years of age. More and more locations are ramping up appointments, and more vaccines are being delivered to providers in your areas every day. 

This is a monumental step forward.",JoeBiden,en,,2596,1229,8345,211
2022-06-23 19:00:19+00:00,1540047115002564608,"With vaccines, treatments, and other tools widely available, more than 220 million Americans are vaccinated, more than 100 million Americans have their booster shot, and daily deaths due to COVID-19 are down 90%.

We've come a long way in our fight against COVID-19.",JoeBiden,en,,1423,884,6424,113
2022-06-22 23:52:00+00:00,1539758130313056257,"Since I took office, we've been committed to making sure every parent has the opportunity to protect their children from COVID-19. 

Starting this week, you can go to https://t.co/EwdQ2dXioe and find information and appointments near you. https://t.co/RRO6auk1j7",JoeBiden,en,,1962,806,5049,207
2022-06-22 16:08:03+00:00,1539641375414751232,"The United States is now the first country in the world to offer safe and effective COVID-19 vaccines for children as young as six months old.

For the first time in our fight against this pandemic, nearly every American can now have access to life-saving vaccines.",JoeBiden,en,,2204,1595,10856,251
