DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-05-31 14:49:07+00:00,1663920549439963141,"From coast to coast, we are building a better future.

This year, 20,000 infrastructure projects will be underway that will transform communities, create good-paying jobs, and rebuild our nation's infrastructure. https://t.co/tfgXTMfUpM",KamalaHarris,en,,767,466,2545,33
2023-05-27 18:48:00+00:00,1662531113892364290,"Since President @JoeBiden and I took office, over 12.5 million new jobs have been created, including 800,000 manufacturing jobs.",KamalaHarris,en,,2999,807,4478,152
2023-05-23 20:02:06+00:00,1661100209697443840,"When President Biden and I took office, we vowed to rebuild America’s manufacturing sector, bring jobs back from overseas, strengthen our supply chains, and build in America.

And we have kept that promise by investing hundreds of billions of dollars in American manufacturing. https://t.co/CThOLGh51F",KamalaHarris,en,,3221,1052,5770,158
2023-05-23 15:47:30+00:00,1661036139086528519,"12.7 million jobs have been created since we took office
253,000 jobs were added last month
The unemployment rate fell to 3.4%

While we have more work to do, we are building our economy from the bottom up and the middle out. https://t.co/CCEQe14z9h",KamalaHarris,en,,1427,678,3493,69
2023-05-21 22:41:05+00:00,1660415444518313984,"Created over 12 million jobs.
Capped insulin at $35/month for seniors.
Passed the largest climate investment ever.
Made historic infrastructure investments.
Protected marriage equality in federal law.

We've made progress, but there’s still much more to do.

Let’s finish the job. https://t.co/8rbwS58A8y",KamalaHarris,en,,5781,1996,10786,262
2023-05-18 18:49:06+00:00,1659269898390974465,"For two years, President @JoeBiden and I have fought to uphold and protect the fundamental freedoms of the American people. 

We have stood together defending freedom and democracy, civil rights, human rights, and women's rights. 

And now, we need to finish the job. https://t.co/ke17WfxMLv",KamalaHarris,en,,1681,550,3075,97
2023-05-17 19:55:01+00:00,1658924100860125194,"When we invest in small businesses, we invest in jobs, opportunity, innovation, and in America.",KamalaHarris,en,,453,280,1682,27
2023-05-16 14:15:09+00:00,1658476182088876034,"217 House Republicans voted for a bill that could cut up to 60,000 teaching jobs—affecting more than 25 million kids. 

Our teachers and children deserve better. https://t.co/ktQ3RGIOKQ",KamalaHarris,en,,3874,1722,4999,159
2023-05-13 23:26:05+00:00,1657527665526439937,"Record job growth.
Largest investment in climate action in history.
Manufacturing is growing faster than it has in decades.
Greatest two years of small business creation on record.

President @JoeBiden and I are delivering for working families, and we're just getting started. https://t.co/OqIZjrIkSK",KamalaHarris,en,,3104,1337,6710,112
2023-05-12 18:28:00+00:00,1657090262949060622,"We have created more than 12.7 million new jobs. 

That’s more jobs created in the two years that we’ve been in office than any presidency has created in four.",KamalaHarris,en,,3363,745,3795,141
2023-05-12 15:23:00+00:00,1657043706753560583,"This Teacher Appreciation Week and every week, I’m thankful for America’s teachers. But they deserve more than thanks.

Teachers go above and beyond their job for their students every day—they deserve higher wages and better working conditions.",KamalaHarris,en,,555,596,3213,37
2023-05-11 22:00:11+00:00,1656781272562163712,"With unemployment now down to 3.4% and 253,000 jobs created in April, it's clear our economic agenda has powered a historic economic recovery.",KamalaHarris,en,,1362,599,3128,56
2023-05-09 15:00:20+00:00,1655950839843008512,"In 2020, voters sent @JoeBiden and me to the White House. 

In 2022, we were able to help defend reproductive rights on state ballots from California to Kentucky and win races up and down the ballot. 

In 2024, let’s finish the job.",KamalaHarris,en,,2278,853,4138,98
2023-05-01 16:00:54+00:00,1653066977550712833,I'm proud to run for reelection with President @JoeBiden so we can finish the job. https://t.co/x7uN8gbEKG,KamalaHarris,en,,16286,2974,26372,1163
2023-04-29 21:40:00+00:00,1652427539757821952,"Created more jobs in two years than any presidency has created in four. 
Unemployment is near its lowest rate in over 50 years. 

Our economic plan is working.",KamalaHarris,en,,16567,1937,11603,832
2023-04-27 20:00:16+00:00,1651677663625375749,Tonight at 6:45pm ET our team is hosting a virtual strategy call to mobilize supporters nationwide. Join us and help finish the job for the American people: https://t.co/GfaU15NS7A. https://t.co/b9s07aemcT,KamalaHarris,en,,1143,844,4577,72
2023-04-27 01:10:00+00:00,1651393223611367425,"We’ve helped create over 12 million jobs, lowered prescription drug costs, and taken the largest action to fight climate change in American history.

Now it’s time to build on our progress and finish the job. That’s why @JoeBiden and I are running for reelection.",KamalaHarris,en,,1514,593,3210,52
