DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-10 18:30:01+00:00,1667600017224245248,"To have the best economy in the world, we need the best infrastructure in the world. 

We invested more money in our roads, bridges, high-speed internet, clean water, and more, making the largest investment in infrastructure since Dwight Eisenhower's interstate highway system.",JoeBiden,en,,2338,963,5171,107
2023-06-09 23:25:00+00:00,1667311866073284612,"We've attracted almost half a trillion dollars in private investments all across the country, and have helped create over 13.4 million jobs—including 800,000 manufacturing jobs.",JoeBiden,en,,2917,1087,6080,143
2023-06-08 16:12:07+00:00,1666840538585219072,"The core pillars of my Investing in America agenda are creating good jobs across the country, fueling a resurgence in manufacturing, rebuilding our infrastructure, and advancing clean energy.

Let’s keep it up.",JoeBiden,en,,2263,838,4384,116
2023-06-07 19:37:01+00:00,1666529715581079566,"We capped the cost of insulin at $35 a month for seniors on Medicare last year. Now, all three of the leading insulin producers in America have agreed to substantially reduce their prices.",JoeBiden,en,,2220,1076,6452,135
2023-06-07 15:59:01+00:00,1666474853057134593,"It is within our power to realize a future where our schools, malls, grocery stores, movie theaters, and places of worship are safe from the threat of gun violence.

But it will require Congress to take action by passing an assault weapons ban.",JoeBiden,en,,5150,1420,6707,219
2023-06-06 19:33:06+00:00,1666166343614230528,"We’re ready to continue the historic work we’ve accomplished these last two years. 

Let’s finish the job. https://t.co/AXZ7QGuWLr",JoeBiden,en,,15471,2344,16235,823
2023-06-06 15:15:07+00:00,1666101418023895041,"In the last two years, I've been able to sign the most significant gun safety legislation in decades and have taken dozens of executive actions—but it's not nearly enough. 

It will take Congressional action to make the meaningful reforms we need to keep our communities safe.",JoeBiden,en,,3152,924,5255,135
2023-06-05 19:08:01+00:00,1665797641672835072,"We’re done talking about Infrastructure “Week.” 

Thanks to the Bipartisan Infrastructure Law, we’re living through an Infrastructure Decade. Our investments have touched over 4,500 communities across all 50 states, D.C., and territories.",JoeBiden,en,,1468,1182,5744,76
2023-06-05 15:00:32+00:00,1665735361681661952,"The bipartisan budget agreement fully funds the PACT Act I signed last year. 

It expands health care access and disability benefits to veterans and is the most significant law in decades for veterans and their families who were exposed to toxic burn pits.",JoeBiden,en,,725,747,4022,40
2023-06-03 21:10:01+00:00,1665103569786109952,"The annual inflation rate has fallen for 10 months in a row, and it’s down more than 40% since last summer.",JoeBiden,en,,12942,2341,13448,732
2023-06-03 15:35:26+00:00,1665019368953053186,We’re keeping the full faith and credit of the United States by passing a budget that continues to grow our economy and reflects our values as a nation. https://t.co/pQVAuNBu3k,JoeBiden,en,,2145,1206,6996,128
2023-06-02 20:55:03+00:00,1664737415322320900,"The unemployment rate has been under 4% for 16 months in a row. The last time our nation had such a long stretch of low unemployment was in the 1960s.

Our economic plan is working.",JoeBiden,en,,7966,2168,12817,362
2023-06-02 19:10:03+00:00,1664710989302857729,"Today is a good day for the American economy and American workers.

We learned that the economy created 339,000 jobs last month, creating over 13 million jobs since I took office. That is more jobs in 28 months than any president has created in an entire 4-year term.",JoeBiden,en,,2892,1431,7446,188
