DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-05-21 22:41:05+00:00,1660415444518313984,"Created over 12 million jobs.
Capped insulin at $35/month for seniors.
Passed the largest climate investment ever.
Made historic infrastructure investments.
Protected marriage equality in federal law.

We've made progress, but there’s still much more to do.

Let’s finish the job. https://t.co/8rbwS58A8y",KamalaHarris,en,,5781,1996,10782,262
2023-05-19 20:05:07+00:00,1659651418007937028,"In the last two years, because of @SpeakerPelosi's partnership, President Biden and I have made historic progress: the largest economic recovery since FDR, the largest infrastructure investments since President Eisenhower, and the largest climate investment in America's history. https://t.co/BJ5OMAhKql",KamalaHarris,en,,1996,1004,5046,94
2023-05-13 23:26:05+00:00,1657527665526439937,"Record job growth.
Largest investment in climate action in history.
Manufacturing is growing faster than it has in decades.
Greatest two years of small business creation on record.

President @JoeBiden and I are delivering for working families, and we're just getting started. https://t.co/OqIZjrIkSK",KamalaHarris,en,,3105,1337,6714,112
2023-05-02 00:49:00+00:00,1653199878145572864,We’ve made the largest climate investment in America’s history—more than a trillion dollars in communities across our nation.,KamalaHarris,en,,2493,532,2951,130
2023-04-29 15:08:06+00:00,1652328913643745283,"President Biden and I understand the incredible challenges coastal communities face, and we'll do everything possible to help fight back. 

That's why we’re going to invest $562 million to fund climate-resilient projects in 149 coastal cities, towns, and counties across America. https://t.co/pVFsNCo9Pz",KamalaHarris,en,,1997,978,5872,113
2023-04-27 01:10:00+00:00,1651393223611367425,"We’ve helped create over 12 million jobs, lowered prescription drug costs, and taken the largest action to fight climate change in American history.

Now it’s time to build on our progress and finish the job. That’s why @JoeBiden and I are running for reelection.",KamalaHarris,en,,1514,593,3212,52
2023-04-25 13:35:00+00:00,1650855934900543488,"More than 12 million new jobs. Historic action to tackle the climate crisis. Lower health care and prescription drug costs. 

We have made so much progress in our first two years, but there’s still so much more to do. 

Let’s finish the job.
https://t.co/fhnt1zhzJm",KamalaHarris,en,,1506,932,4885,73
2023-04-20 22:01:00+00:00,1649171334809657344,"We’ve made the largest investment in economic recovery since President Franklin Roosevelt, the largest infrastructure investment since President Eisenhower, and the largest climate investment in American history.",KamalaHarris,en,,1050,474,2573,56
2023-04-16 19:40:00+00:00,1647686297866125315,"When we invest in climate, clean energy, and U.S.-based manufacturing, we invest in American jobs.",KamalaHarris,en,,926,386,2397,20
2023-04-06 00:50:00+00:00,1643778045294129152,"The Inflation Reduction Act is the largest investment in history to combat the climate crisis.

That means cleaner air and water and millions of new good-paying jobs as we build a clean energy economy that works for all Americans.",KamalaHarris,en,,687,405,2244,24
2023-03-30 15:38:01+00:00,1641464807491530753,"Between the Bipartisan Infrastructure Law and the Inflation Reduction Act, we’re looking at about a trillion dollars of investment over the next 10 years to address the climate crisis—jumpstarting a clean-energy economy for the benefit of the people of our country and the world.",KamalaHarris,en,,404,309,1794,19
2023-03-29 21:56:00+00:00,1641197542577717249,"When you total up the Bipartisan Infrastructure Law, CHIPS and Science Act, and the Inflation Reduction Act, we’re looking at trillions of dollars hitting the streets of America to combat the climate crisis. 

This is transformational.",KamalaHarris,en,,575,385,2032,31
2023-02-25 18:20:05+00:00,1629546793615720450,"We have the momentum. 

Created 12 million new jobs. 
Capped insulin at $35 a month for seniors. 
Passed the largest climate investment ever.
Made historic infrastructure investments.
Protected marriage equality in federal law. 

Let’s finish the job. https://t.co/RYk8nh6fz4",KamalaHarris,en,,4248,2156,19524,295
2023-02-23 21:06:01+00:00,1628863774445666304,The Inflation Reduction Act is the largest investment in climate in our nation’s history.,KamalaHarris,en,,287,253,1711,28
2023-02-11 00:20:00+00:00,1624201552478015489,"Young voters talked to us, and we listened. 

Because they organized and voted, we made the largest investment in the climate crisis in history.",KamalaHarris,en,,680,627,5199,42
2023-02-09 23:08:01+00:00,1623821045684658179,"When it comes to the climate crisis, we don’t have time to waste. 

That’s why we passed the most significant investment ever to tackle climate change, which will lower utility bills, help create jobs, and lead us into a clean energy future.",KamalaHarris,en,,340,326,2244,23
2023-02-05 16:26:00+00:00,1622270325567152131,"In 2022, we capped the price of insulin at $35 a month for seniors on Medicare, made the largest investment in climate in a generation, and much more.

Help us continue building on this progress by chipping in today:
https://t.co/PKYuueMFJB",KamalaHarris,en,,310,326,1977,19
2023-01-27 21:47:01+00:00,1619089619135463425,"When we invest in climate, we also invest in families, communities, opportunity, and prosperity for all people. 

When we invest in climate, we build a safer, cleaner, healthier, more just, and more prosperous country. 

When we invest in climate, we invest in America.",KamalaHarris,en,,398,324,1797,29
2023-01-24 19:17:01+00:00,1617964706601353216,"Last year, we made the largest investment to fight the climate crisis in American history. Across our nation, new wind and solar farms are being built, which generate clean power and would lower energy costs for millions of families.

We are putting that investment to work.",KamalaHarris,en,,316,279,1673,20
2023-01-20 17:30:11+00:00,1616488270619082756,"Our second year in office, we:

—Capped the price of insulin at $35 a month for seniors on Medicare
—Made the largest investment in climate in a generation
—Protected same-sex marriage in federal law
—Expanded health care for veterans

The work continues.",KamalaHarris,en,,334,434,2373,30
