DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Sentiment,Value
2023-05-04 18:13:32+00:00,1654187519049703424,"If the Biden Department of Justice ends up indicting Hunter Biden for individual gun crimes or tax crimes, that’s the tell. 

Be on the lookout if Garland seals off Hunter’s connection to Joe and the MILLIONS Hunter made selling access to his father when he was VP. https://t.co/BSzUSgJLLJ",tedcruz,en,,983,472,1809,35,uncertain,0.5
2023-04-12 23:33:00+00:00,1646295381242953728,"Ted Cruz Fires Back at Gregg Popovich for Trashing His Gun Safety Proposal: ‘Hypocritically’ Lecturing His Fans from a ‘Point of Ignorance’

https://t.co/KjcmzIYdjo https://t.co/a7rdN9PTCz",tedcruz,en,,296,145,1047,19,uncertain,0.5
2023-04-01 23:16:31+00:00,1642304967003234305,"Cruz Champions School Safety In Impassioned Speech While Democrats Push For Gun Control via @realdailywire

https://t.co/PWhwMwMQCN",tedcruz,en,,946,310,2161,48,uncertain,0.5
2023-03-29 04:38:23+00:00,1640936415801245699,"This is horrific. After a deranged lunatic who was trans murdered 6 people at a Christian School—including three 9-year-olds—the press secretary for the current Dem governor of AZ tweets out a gif of an angry woman brandishing two guns.

What the hell?? https://t.co/xVJnJJ2n3f",tedcruz,en,,4196,4187,18525,323,negative,0.3125
2023-01-22 23:12:00+00:00,1617299067452678144,"Border Madness &amp; Gun Ignorance

Don’t miss episode 155 of #Verdict! 

Watch it on YouTube:
https://t.co/QEo6tXT0bu

Or listen to it on Apple Podcasts:
https://t.co/S4XKhz7lNI https://t.co/JBZl4d9hEH",tedcruz,en,['Verdict'],239,140,1000,11,uncertain,0.5
2023-01-22 15:03:18+00:00,1617176083262017538,"I believe these new Illinois gun laws are going to be struck down by the courts.

Don’t miss the latest episode of #Verdict.

Get it on YouTube:
https://t.co/QEo6tXT0bu

Or on Apple Podcasts:
https://t.co/S4XKhz7lNI https://t.co/DEtfOxyrwm",tedcruz,en,['Verdict'],1068,351,3244,95,positive,0.5801346801346802
2023-01-22 00:11:00+00:00,1616951527146405890,"Democrats want to disarm law-abiding Americans. 

@benfergusonshow and I discuss the Democrats’ latest unconstitutional gun control push on #Verdict. 

https://t.co/S4XKhz7lNI https://t.co/qjyTRByz38",tedcruz,en,['Verdict'],2095,436,2863,125,positive,0.75
2023-01-20 18:36:56+00:00,1616505070069379072,"Border Madness &amp; Gun Ignorance

Don’t miss episode 155 of #Verdict! 

Watch on YouTube: https://t.co/QEo6tXTy12

Or listen on Apple Podcasts:
https://t.co/S4XKhz7TDg https://t.co/0d2GwEFyei",tedcruz,en,['Verdict'],85,45,316,3,uncertain,0.5
2023-01-20 14:13:14+00:00,1616438706810023936,"Border Madness &amp; Gun Ignorance

NEW #Verdict out this morning. Listen to it on Apple Podcasts or wherever you get your podcasts. 

https://t.co/S4XKhz7TDg",tedcruz,en,['Verdict'],63,45,318,2,positive,0.5681818181818181
2023-01-19 13:56:13+00:00,1616072035662192640,And your stove. And your gun.,tedcruz,en,,1466,546,3664,120,uncertain,0.5
2023-01-18 03:11:05+00:00,1615547296434855937,"Shockingly, many anti-gun advocates have no idea what they’re talking about.

The “AR” in AR-15 stands for “ArmaLite Rifle,” the company that developed it in the 1950s.

&amp; sorry @GeraldoRivera they’re NOT “automatic.” Automatic rifles (machine guns) have been illegal for 80+ yrs.",tedcruz,en,,613,483,2373,53,uncertain,0.45
2023-01-14 13:38:30+00:00,1614255639043112961,"Democrat authoritarian impulses:

❌Ban gas stoves
❌Ban gas cars
❌Ban plastic bags
❌Ban plastic straws
❌Ban guns
❌Ban incandescent light bulbs
❌Ban fracking
❌Ban offshore drilling

What will Dems want to ban next?",tedcruz,en,,21453,7288,42228,1799,positive,0.6
2022-11-29 19:14:00+00:00,1597670228111986688,"Joe Biden has ZERO idea what he is saying.

If you asked Biden what a semi-automatic weapon is, he wouldn’t know. 

Get the latest on the Democrats’ push for gun control on #Verdict: https://t.co/jASckIzPOm https://t.co/MlSomOvl2g",tedcruz,en,['Verdict'],211,137,911,9,positive,0.75
2022-11-28 13:33:32+00:00,1597222161353445377,"ALL NEW #Verdict:

5 Troubling Facts About Special Counsel Jack Smith, Plus Dems Pushing Spending &amp; Gun Control!

Listen here:
https://t.co/jASckIRZ2u",tedcruz,en,['Verdict'],165,85,406,7,positive,0.645698051948052
2022-11-18 20:13:39+00:00,1593698973365293057,"Joe Biden has completely weaponized the Department of Justice to attack his political opponents. 

3 days ago, Trump announced and now a Special Counsel. 🧐

This is Trump derangement syndrome but this time with a gun and badge. #JusticeCorrupted",tedcruz,en,['JusticeCorrupted'],2492,1949,7440,222,positive,0.5761904761904761
2022-09-24 18:57:00+00:00,1573748350536585217,Gun control is singularly ineffective. #TribFest22 https://t.co/Y99IiXMecc,tedcruz,en,['TribFest22'],888,125,1022,71,uncertain,0.5
2022-09-11 17:23:48+00:00,1569013855119970304,"🚨🚨🚨 Once again Big Business is joining with the radical Left to take away our Second Amendment rights.

This is the Left's playbook - because they can't ram through unconstitutional gun control, they use woke corporations to target law abiding citizens who buy guns.",tedcruz,en,,753,791,2604,63,uncertain,0.5
2022-07-21 02:59:01+00:00,1549952056236118016,"The Left HATES that a good guy with a gun stopped the mass murderer in Indiana.

If you’re a gun control advocate, just WATCH what I said. Then tell us what FACTS you disagree with.",tedcruz,en,,1201,721,5462,91,positive,0.675
