DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-05-30 22:30:03+00:00,1663674159237414913,"The bipartisan budget agreement prevents what could have been a catastrophic default and would have led to an economic recession, retirement accounts devastated, and millions of jobs lost.",JoeBiden,en,,1572,902,5124,85
2023-05-26 14:54:08+00:00,1662109872622649346,"We’re proposing a new rule to make it mandatory for all U.S. airlines to compensate you with meals, hotels, taxis, rebooking fees, and cash miles or travel vouchers when they’re the ones to blame for cancellation or delay.

It matters for hardworking families. https://t.co/JXBv6XaQCr",JoeBiden,en,,9661,2524,21433,647
2023-05-25 23:34:05+00:00,1661878334408515585,"Defaulting on the debt—including trillions incurred under Donald Trump—could mean seniors missing Social Security checks and millions of jobs lost.

It sounds like the head of the Republican Party thinks that’s a price worth paying to elect Republicans. https://t.co/fHbRqviI9j",JoeBiden,en,,5898,10406,28883,722
2023-05-18 01:30:07+00:00,1659008430835658756,"Made a surprise visit to @EMILYsList to thank everyone for leading on the critical fight for women’s rights.

It’s about freedom. It’s about democracy. There is too much at stake to sit this out. https://t.co/rkyMyuMTAb",JoeBiden,en,,1640,888,4954,79
2023-05-17 22:16:31+00:00,1658959709041221646,"Nancy Pelosi is going to go down in history as one of the most consequential speakers in the history of the United States of America. 

When Nancy was speaker, we never had to worry about whether a bill would pass. If she said she had the votes—she had the votes. Every time. https://t.co/AxgvGPjmJ9",JoeBiden,en,,17103,3438,23486,914
2023-05-17 20:31:06+00:00,1658933179405705216,"We had a productive meeting with congressional leaders yesterday. 

I'm confident that we'll get to an agreement on the budget, and America will not default. Every leader in the room understands the consequences if we fail to pay our bills. https://t.co/hw7RW7Aeu8",JoeBiden,en,,1141,636,4145,119
2023-05-14 14:10:01+00:00,1657750112955772930,"To moms everywhere, I wish you a happy Mother's Day.",JoeBiden,en,,3851,2574,25777,277
2023-05-13 01:36:05+00:00,1657197993374654464,"We’re proposing a new rule later this year to make it mandatory for all U.S. airlines to compensate you with meals, hotels, taxis, rebooking fees, and cash miles or travel vouchers when they’re the ones to blame for cancellation or delay.

It matters for hardworking families. https://t.co/RctePSK8pq",JoeBiden,en,,8751,3559,24806,747
2023-05-12 22:38:00+00:00,1657153177089720320,"The last thing this country needs is a manufactured crisis.

But MAGA Republicans are creating exactly that by holding America’s economy hostage—all to try to force cuts to veterans’ benefits, education, health care, and more.",JoeBiden,en,,13512,5800,20568,724
2023-05-12 15:37:06+00:00,1657047252605575170,"We’ve created 12.7 million jobs—nearly 800,000 new manufacturing jobs.
Unemployment is at a 50-year low.
Workforce participation is at its highest in 15 years.

We're building an economy that leaves no one behind. https://t.co/LLG8PiE3Ms",JoeBiden,en,,16122,3721,17643,818
