DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-10 18:53:00+00:00,1667605802570399745,"Gun violence is the leading cause of death for our nation’s children. 

Congress must have the courage to act and pass commonsense gun safety laws, including an assault weapons ban and universal background checks.",KamalaHarris,en,,562,427,2190,33
2023-06-09 20:25:01+00:00,1667266569674584064,"Our economic plan is showing real results for the American people: 

—339,000 jobs last month
—Over 13 million jobs have been created since we took office
—The unemployment rate has remained near historic lows",KamalaHarris,en,,637,364,1962,36
2023-06-09 18:00:16+00:00,1667230145063559174,"These are not just statistics or another headline. 

These are the lives of our children, loved ones, parents and siblings, and fellow Americans.

Congress must have the courage to pass reasonable gun safety laws. https://t.co/j3g9JCSEsc",KamalaHarris,en,,1709,795,3183,86
2023-06-08 18:25:06+00:00,1666874006568353792,"My message to LGBTQ+ Americans: No one should fear loving who they love. 

We will continue to stand up for the LGBTQ+ community. And we will fight with pride. https://t.co/Idzp6AJ8lo",KamalaHarris,en,,5180,1482,11744,231
2023-06-08 17:22:44+00:00,1666858310618820614,"—Capped the cost of insulin for seniors on Medicare at $35/month 
—Medicare will be able to directly negotiate prescription drug prices with pharmaceutical companies 
—Capped the cost of prescription drugs for seniors on Medicare at $2,000/year  

This was made possible because people voted.",KamalaHarris,en,,617,532,2808,33
2023-06-07 21:53:05+00:00,1666563959862751232,"In 2020, voters elected President @JoeBiden and me, and because of that, we passed the first significant piece of federal gun safety legislation in 30 years. https://t.co/BRxjfzKUtF",KamalaHarris,en,,7286,1809,12384,322
2023-06-06 20:02:06+00:00,1666173639790669824,"Since President Biden and I took office, the economy has added over 13 million jobs—that's more jobs in 28 months than any president has created in a full four-year term. https://t.co/gV0qHvpR3q",KamalaHarris,en,,6759,1439,8660,287
2023-06-06 16:45:03+00:00,1666124051260030976,"As someone who has fought their entire career to try to end gun violence, solutions do exist.

It requires leaders in the United States Congress and state legislatures to exercise courage and pass commonsense gun reform.",KamalaHarris,en,,2172,559,3163,87
2023-06-05 23:22:00+00:00,1665861559480926208,"It is a false choice to suggest that we must either support the Second Amendment or pass reasonable gun safety laws. 

We can do both.",KamalaHarris,en,,6627,1917,12637,308
2023-06-05 19:35:02+00:00,1665804439955931137,"Democrats are fighting for the permanent expansion of the Child Tax Credit, paid family leave, affordable child care, Medicare and Social Security, and the right of all people to live with dignity.

Meanwhile, extremist so-called leaders are trying to roll back our progress.",KamalaHarris,en,,908,549,2518,40
