DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2022-12-22 23:01:02+00:00,1606062284937351189,"We have a lot of obligations as Americans, but we have only one sacred obligation: 

To prepare those we send to war and care for them and their families when they come home.",JoeBiden,en,,4574,1668,14929,996
2022-07-09 17:25:01+00:00,1545821338790764545,"This week, I was proud to award the Medal of Honor to four soldiers who performed acts of incredible heroism during the Vietnam War. 

They stood in the way of danger and risked everything to defend our nation, and they are finally getting the recognition they deserve. https://t.co/g0H0T9BEnT",JoeBiden,en,,1004,1229,10042,71
2022-03-25 15:25:16+00:00,1507378087239036930,The United States is prepared to commit more than $1 billion in humanitarian assistance to help get relief to millions of Ukrainians affected by the war in Ukraine. https://t.co/c6AeFn8QDn,JoeBiden,en,,1787,1243,8378,198
2021-09-21 23:12:00+00:00,1440453789090152458,"For the first time in 20 years, the United States is not at war. We’ve turned the page.

All the unmatched strength, energy, commitment, will, and resources of our nation are now fully and squarely focused on what’s ahead of us, not what was behind. https://t.co/4n3HlIiUlY",JoeBiden,en,,2731,2274,15780,416
2021-09-01 13:44:53+00:00,1433063313362104325,I was not going to extend this forever war. https://t.co/QoDLRA4Hqr,JoeBiden,en,,4322,1930,19881,447
2021-09-01 01:21:10+00:00,1432876149437255683,"There is nothing low-grade, low-risk, or low-cost about any war. It was time to end the war in Afghanistan. https://t.co/jAGbWnBzol",JoeBiden,en,,3122,2434,20900,365
2021-08-23 16:39:38+00:00,1429845800612413441,"Once screened and cleared, we will welcome Afghans who helped us in the war effort to their new home in the United States of America. 

Because that's who we are. That's what America is.",JoeBiden,en,,6977,7630,83526,1056
2021-08-17 17:03:01+00:00,1427677357297516552,Four presidents have presided over an American troop presence in Afghanistan—two Republicans and two Democrats. We will not pass this war onto a fifth. https://t.co/d5kIcw27h8,JoeBiden,en,,4398,2734,22551,503
2021-04-01 01:34:37+00:00,1377434193827860480,The American Jobs Plan is the largest American jobs investment since World War II.,JoeBiden,en,,5405,8530,93036,854
2021-01-06 23:36:00+00:00,1346963759156195332,"Through war and strife, America has endured much. And we will endure here and prevail now. https://t.co/OvNOV0ogWG",JoeBiden,en,,5972,12828,114377,1383
2020-11-26 00:46:00+00:00,1331761084873789440,"Don’t let yourself surrender to the fatigue.

America is not going to lose the war against this virus. 

We’ll get our lives back. Life is going to return to normal. I promise.",JoeBiden,en,,6314,12084,162206,2013
2020-11-25 21:50:00+00:00,1331716793149304845,We need to remember: We’re at war with a virus — not with each other.,JoeBiden,en,,29332,51794,741141,12092
2020-10-08 21:42:00+00:00,1314320162317897729,"Every generation that has followed Gettysburg has been faced with a moment when it must answer this question: Will we allow the sacrifices made in that battle, and that war, to be in vain?
 
We cannot, and we must not. It's time to come together. https://t.co/jmVGQRS4zy",JoeBiden,en,,836,3171,15016,150
2020-10-06 20:52:00+00:00,1313582803808903168,"We fought a Civil War that would secure a Union that would seek to fulfill the promise of equality for all.

And by fits and starts, our better angels have prevailed just enough against our worst impulses to make a new and better nation.

Those better angels must prevail again.",JoeBiden,en,,1039,5469,29980,259
2020-09-15 17:59:06+00:00,1305929147441532930,"The most sacred obligation of our government is to do right by those who defend our nation at war. I’m in Tampa, Florida, to hear from veterans and to discuss how I’ll honor that promise as president. Tune in: https://t.co/SkJOytj8gm",JoeBiden,en,,1722,3013,10506,220
2020-09-14 00:20:00+00:00,1305300227721703424,"Weapons of war have no place in our communities.

We need to ban assault weapons and high-capacity magazines.",JoeBiden,en,,28767,24534,175589,8281
2020-09-07 18:24:00+00:00,1303036310177951747,"For years, President Trump and Republicans have waged a war on America's labor unions. 

It will end on my watch.

I'll sign the PRO Act — making it easier for workers to organize and collectively bargain — and be the strongest labor president workers have ever had.",JoeBiden,en,,4043,9894,45970,894
2020-08-05 19:15:00+00:00,1291090345103679494,"Weapons of war have no place in our communities. When I was a senator, I took on the @NRA and secured a 10-year ban on assault weapons — and as president, I’ll ban these weapons again. https://t.co/ggqSaj40EJ",JoeBiden,en,,11674,7906,42684,3826
2020-07-09 20:55:00+00:00,1281331038476619776,"I do not buy for one second that the vitality of American manufacturing is a thing of the past.
 
American manufacturing was the Arsenal of Democracy in World War II, and must be part of the engine of American prosperity now.",JoeBiden,en,,3232,7144,41766,556
2020-06-12 17:30:00+00:00,1271494978213040128,"We need real policing reform, and we need it now. Congress should immediately:

- Outlaw chokeholds
- Improve oversight and accountability
- Create a model use of force standard
- Stop the transfer of weapons of war to local police forces",JoeBiden,en,,2667,7529,36280,515
2020-05-08 22:30:00+00:00,1258886898329812998,"Two years ago, Donald Trump withdrew from the Iran Deal. This week, he vetoed a war powers resolution that would've prevented him from starting a war with Iran without Congressional consent. His decisions have increased the risk of war in the Middle East. https://t.co/Tq0CU99A1r",JoeBiden,en,,1956,5347,16408,369
2020-05-08 21:00:00+00:00,1258864250002513922,"75 years ago on #VEDay, America and its allies defeated fascism in Europe. From the devastation of war, we built a lasting peace. Today, as we honor the veterans who sacrificed for us, let us remember the importance of uniting against common threats.",JoeBiden,en,['VEDay'],590,2719,12544,132
2020-04-05 16:38:38+00:00,1246839674724855810,"We are at war with this virus — and the health care workers on the front lines are our soldiers. It is unacceptable that they don’t have the lifesaving masks, gowns, and protective gear they need.",JoeBiden,en,,1329,6736,23222,307
2020-03-16 01:56:58+00:00,1239370040404828160,"The coronavirus pandemic is like a war. And in a war, you do whatever is needed to be done to take care of your people. #DemDebate https://t.co/3U1aarm3Ho",JoeBiden,en,['DemDebate'],620,1263,4910,115
2020-03-16 00:18:26+00:00,1239345243696160768,"This is a crisis. We’re at war with a virus. 

No one should have to pay for coronavirus health care costs. #DemDebate",JoeBiden,en,['DemDebate'],637,1867,9864,158
2020-03-08 00:30:00+00:00,1236449049865224194,"“Rosie the Riveter"" represents the American women who worked in factories during World War II.

Their resilience and hard work helped us win the war.  

Agnes was one of them. I called her on her 100th birthday, and I could not be more proud to have her support. https://t.co/2toIvuhmsw",JoeBiden,en,,492,2820,12200,174
2020-02-26 23:40:00+00:00,1232812588032876544,"In 1994, I took on the @NRA to pass a 10-year ban on assault weapons and high-capacity magazines. The ban saved lives — and Republicans should have never let it expire.

As president, I’ll ban them once again. We will get these weapons of war out of our communities. https://t.co/4ciJQTNxvR",JoeBiden,en,,171,478,1564,26
2020-02-19 01:20:00+00:00,1229938651171155968,"Let's be clear: Weapons of war have no place in our communities.

That's why I took on the @NRA and passed a 10-year ban on assault weapons and high-capacity magazines — and I'll do it again as president. https://t.co/hMQvuuXtNv",JoeBiden,en,,400,1412,5294,71
2020-02-15 18:15:00+00:00,1228744533107671041,No one needs an AR-15. Period. We have to get these weapons of war out of our communities.,JoeBiden,en,,11654,6842,53397,2744
2020-02-07 20:45:00+00:00,1225883178839220224,"Who in God's name needs a weapon that can hold one hundred rounds? These weapons of war have no place in our communities. I’ve taken on the @NRA to ban them once before, and I’ll do it again in the White House. https://t.co/JPFMzM1kcB",JoeBiden,en,,927,2043,10395,169
2020-01-24 21:58:29+00:00,1220828240408870912,"34 U.S. troops have been diagnosed with traumatic brain injury after Iranian missiles struck their base in Iraq. Donald Trump brought us to the brink of war—then dismissed the injuries as “headaches.”

The idea that the commander in chief would take this lightly is disgusting.",JoeBiden,en,,771,4676,14337,224
2020-01-17 22:54:34+00:00,1218305640042504192,"Donald Trump says he prefers war heroes who ""weren't captured."" He attacks Gold Star families. Now he calls our generals “losers,"" “babies” and “dopes.""

He degrades the office he holds every day. https://t.co/mvLLdHCzRz",JoeBiden,en,,958,4439,15159,347
2020-01-15 02:22:35+00:00,1217270827873460226,No president can take our country to war without the informed consent of the American people. #DemDebate,JoeBiden,en,['DemDebate'],208,362,1929,52
2020-01-10 21:01:00+00:00,1215740345113141248,"Make no mistake: the situation with Iran is a crisis of Donald Trump's own making. He brought us to the brink of war with no plan and no strategy.

He is the most erratic and incompetent commander in chief we've ever had. https://t.co/LkmJvh1FAn",JoeBiden,en,,1930,5484,21152,431
2020-01-10 15:15:00+00:00,1215653271961919489,"Donald Trump brought us dangerously close to starting a new war with Iran without any semblance of a plan.

This moment requires a leader who will be ready on day one to pick up the pieces and repair the damage Trump has caused. https://t.co/HDNnbR8tEB",JoeBiden,en,,913,2121,8361,190
2020-01-09 22:01:00+00:00,1215393056603561984,This election is about the soul of America — and a nation that allows our epidemic of school shootings to continue has a troubled soul. We have to beat the @NRA and get weapons of war off our streets. Lives depend on it. https://t.co/WtSljHo3ka,JoeBiden,en,,398,790,2554,79
2020-01-06 19:30:00+00:00,1214267892482469888,Let's be clear: Donald Trump does not have the authority to take us into war with Iran without Congressional approval. A president should never take this nation to war without the informed consent of the American people.,JoeBiden,en,,3411,7765,39775,1521
