DateTime,TweetId,Text,Username,Displayname,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-26 23:52:32+00:00,1673479387428147201,"Jim Crown was a pillar of Chicago who cared deeply about making our city a place where everybody can thrive. Michelle and I were also very lucky to call him a dear friend. We're heartbroken today, and we send our love to Paula and their wonderful family in this difficult time. https://t.co/IWLLd1IYtF",BarackObama,Barack Obama,en,,1552,3146,27217,137
2023-06-26 23:11:40+00:00,1673469104571707400,"Am worth more than that (as the son of a penniless immigrant), but I gladly took a 90% pay cut to fight every day for 30 million Texans. 

Why does @StephenKing ignore EVERY WORD I said about the people hurt by the #BidenBorderCrisis ?

Because rich Hollywood liberals simply don’t give a damn about the people their policies hurt.",tedcruz,Ted Cruz,en,['BidenBorderCrisis'],1570,1417,10355,95
2023-06-26 23:09:00+00:00,1673468433013284866,"House Republicans are proposing a GOP Tax Scam 2.0 that would spend hundreds of billions of dollars on tax breaks for big corporations—while shipping clean energy jobs overseas and raising energy costs on American families.

Their priorities are clear.",JoeBiden,Joe Biden,en,,3010,2182,7338,158
2023-06-26 23:05:33+00:00,1673467563399958530,"Sadly, the radical left routinely engages in excitement to violence. 

But trying to teach it to young kids, that’s a new low for them….",tedcruz,Ted Cruz,en,,563,652,2217,38
2023-06-26 23:03:05+00:00,1673466945386033152,"The ⁦@HoustonChron⁩ slavishly reprints the dishonest ⁦@PolitiFact⁩ partisan hit piece. They should be ashamed.

Here’s my earlier response, which focuses on, you know, actual FACTS:

https://t.co/3Qmc8RPvh1 https://t.co/Bui8BKrx0a",tedcruz,Ted Cruz,en,,92,43,270,5
2023-06-26 22:53:36+00:00,1673464557140836353,Minneapolis Pride + FLOTUS - doesn’t get much better than that! Thank you @FLOTUS for joining us! 📸: @jkmassey https://t.co/IVCNkmyQ7M,IlhanMN,Ilhan Omar,en,,150,90,726,9
2023-06-26 22:09:53+00:00,1673453556949557248,"If Merrick Garland lied when he said there was no political interference from the DOJ in the investigation of Hunter Biden, he committed a criminal offense with serious jail time. 

I'm calling for a special counsel—not a Garland henchman—to investigate. https://t.co/KTBKERAaGi",tedcruz,Ted Cruz,en,,398,354,1572,11
2023-06-26 21:49:00+00:00,1673448299892822017,"Today, we announced over $40 billion to be distributed across the country to deliver high-speed internet to places with either no or slow service.

With this funding and other federal investments, we will connect every person in America to reliable, high-speed internet by 2030.",JoeBiden,Joe Biden,en,,2595,1467,8004,215
2023-06-26 21:33:46+00:00,1673444468261892105,Here is what I believe is the best way to understand the last 4 days in Russia https://t.co/RgnPqNLPOG,marcorubio,Marco Rubio,en,,179,178,1023,33
2023-06-26 21:16:47+00:00,1673440191535620104,"Americans across the country have now seen how the love &amp; commitment of countless LGBTQ+ couples and families enrich &amp; strengthen our communities.
 
Despite the progress that's been made, right-wing extremists seek to undermine legal precedent and strip away basic freedoms.",SpeakerPelosi,Nancy Pelosi,en,,60,86,603,2
2023-06-26 21:16:47+00:00,1673440193062350849,"As we celebrate the anniversary of this momentous decision, Americans must remain vigilant in defense of the rights and dignity of the LGBTQ+ community as we continue to fight for a just and equal future for all Americans. 

Read my full statement here: https://t.co/p3OfTmbu0M",SpeakerPelosi,Nancy Pelosi,en,,56,102,653,2
2023-06-26 21:16:46+00:00,1673440189815898112,"8 years ago, the Supreme Court unequivocally declared in Obergefell v. Hodges that marriage is the right of all people.

And last year, the Democratic Congress took action to reinforce this decision by upholding marriage equality under federal law in our Respect for Marriage Act.",SpeakerPelosi,Nancy Pelosi,en,,663,1155,6384,40
2023-06-26 20:26:07+00:00,1673427440436396032,"Got Broadband?

For too many New Yorkers, internet coverage is spottier than these cows.

Thanks to the bipartisan infrastructure law we delivered, better internet is coming to upstate New York. https://t.co/ZPctYa3R1q",SenSchumer,Chuck Schumer,en,,156,147,584,5
2023-06-26 20:22:24+00:00,1673426506469523456,"I’ve repeatedly said if the allegations are false, Joe Biden could clear this up by being transparent &amp; sharing the truth with the American people.

He’s instead had his administration &amp; the DOJ completely stonewall at every turn.",tedcruz,Ted Cruz,en,,840,898,3656,42
2023-06-26 19:55:57+00:00,1673419851052843008,"The ONSHORE Act will create new federal investment to breathe new life into industrial sites across Upstate NY and bring manufacturing jobs back home.

I’ll work to pass ONSHORE to build on the manufacturing boom we’re already seeing Upstate! https://t.co/UjtQsehcF8",SenSchumer,Chuck Schumer,en,,73,82,282,4
2023-06-26 19:53:24+00:00,1673419209395564548,Happy anniversary to marriage equality. 💜 https://t.co/UQ9AXa34aE,HillaryClinton,Hillary Clinton,en,,6377,1600,12371,298
2023-06-26 19:46:37+00:00,1673417501814714388,"-Prigozhin knew Shoigu & Gerasimov were coming for him very soon so he moved to capture/kill them first 
-But they fled Rostov so he had to settle for humiliating them by taking their HQ & reaching outskirts of Moscow
-Agreed to an “off-ramp” based on promises made by Lukashenko 
-Now that it’s over Putin has no intention to keep those promises",marcorubio,Marco Rubio,en,,107,115,704,26
2023-06-26 19:00:27+00:00,1673405882242068489,These aren’t ordinary times in America. We just hit the one-year anniversary of half the population losing a constitutional right. Extremist Republicans want us to be so discouraged that we duck out of the fight. But no way. We’re still pushing for reproductive freedom for all.,ewarren,Elizabeth Warren,en,,1257,511,3126,70
2023-06-26 18:39:33+00:00,1673400621603364868,Cruz calls for special counsel to probe AG Garland while House GOP threatens impeachment inquiry | Washington Times https://t.co/PO89jANywu,tedcruz,Ted Cruz,en,,523,222,1464,25
2023-06-26 18:25:17+00:00,1673397034110394369,"Multi-millionaire Leftist @StephenKing sits in his mansion in Maine and laughs at the kids being abused & the women being sexually assaulted on our Southern border. 

He doesn’t give a damn about their suffering—or about the 853 migrants who died last year or the 100k Americans who died of drug overdoses. 

Nope. What does he want to talk about? Cancun. 🤦‍♂️",tedcruz,Ted Cruz,en,,4922,2320,13201,385
2023-06-26 18:20:01+00:00,1673395708198526977,"🚨🚨Important:  

Cruz points out Biden admin is now officially boycotting Israel - American Thinker https://t.co/Xdyqe0N62r",tedcruz,Ted Cruz,en,,151,178,443,14
2023-06-26 17:13:25+00:00,1673378948800192513,"At this point, the evidence that Merrick Garland personally committed multiple felonies is growing. 

The chances that the DOJ will fairly investigate evidence of his obstruction of justice &amp; perjury are zero.

More on the latest episode of #Verdict! https://t.co/KTBKERAIvQ https://t.co/6Cnzh1jw74",tedcruz,Ted Cruz,en,['Verdict'],542,425,1402,32
2023-06-26 16:58:18+00:00,1673375142016086016,"Getting to hear what’s on people’s minds always inspires me to stay in the fight for Massachusetts families.
https://t.co/Ajvmx25Fwy",ewarren,Elizabeth Warren,en,,153,78,664,6
2023-06-26 16:47:41+00:00,1673372472450727956,"If the opioid epidemic hasn’t affected you directly, chances are someone close to you is dealing or has dealt with opioid addiction. Last year the @CDC confirmed the record high overdose deaths have contributed to a drop in life expectancy in the U.S.

We’ll have to work together to end this epidemic - which is why we’ve been working with @JoeKiani, @RyanForRecovery, @DirectRelief, and others to bring together leaders in health, law enforcement, and the recovery community to find ways to take action and prevent overdose deaths.",BillClinton,Bill Clinton,en,,160,112,653,10
2023-06-26 16:25:13+00:00,1673366816696029184,👀,tedcruz,Ted Cruz,art,,55,50,369,1
2023-06-26 16:19:17+00:00,1673365323389566976,"▶️  The Russian people spoke loudest by remaining silent.  

▶️  Russians stayed inside when they saw the first assault on Putin’s rule in decades.  To me it was a telling moment about Russian views on Putin.",LindseyGrahamSC,Lindsey Graham,en,,129,30,287,8
2023-06-26 16:18:58+00:00,1673365242321985536,"My takeaways from this weekend:

▶️  The Wagner Group was able to seize a strategic military city without opposition.

▶️  The Wagner Group moved towards Moscow without major opposition.",LindseyGrahamSC,Lindsey Graham,en,,486,76,865,33
2023-06-26 16:00:17+00:00,1673360544454025219,"If you are a Russian solider in Ukraine, you have to wonder Who and What am I fighting and dying for?",LindseyGrahamSC,Lindsey Graham,en,,2044,362,3325,189
2023-06-26 15:33:02+00:00,1673353683524804613,"The average billionaire in America pays 8% in federal taxes.

Teachers and firefighters pay more than that.

That’s why I proposed a minimum tax for billionaires. Republicans are against it, but I’m going to keep fighting for it.",JoeBiden,Joe Biden,en,,15327,4956,27268,1247
2023-06-26 15:21:08+00:00,1673350690666586112,"BREAKING: New York will receive a historic nearly $670M in broadband funding thanks to the bipartisan infrastructure &amp; jobs law!

This will finally provide high-speed internet to many Upstate NY communities that lack broadband service.",SenSchumer,Chuck Schumer,en,,317,479,2254,23
2023-06-26 15:16:00+00:00,1673349397495660544,"“To a brave person, good and bad luck are like her left and right hand. She uses both.” 
-St. Catherine of Siena

May we be ambidextrous!

🔆

Thank you @ms_bea_kind for another gem. https://t.co/jPYOq9OTr7",CoryBooker,Cory Booker,en,,20,43,246,4
2023-06-26 15:12:06+00:00,1673348416137580544,"Welcome news from our colleagues in the House. 

As I discuss on the latest episode of #Verdict, there is serious evidence that Merrick Garland lied to me, under oath, when I questioned him about his role in obstructing the Hunter Biden probe. https://t.co/9wuQoqsNCF",tedcruz,Ted Cruz,en,['Verdict'],339,331,1541,22
2023-06-26 14:12:40+00:00,1673333461447221249,"The Biden administration hoped that their lapdogs in the media would continue to hide the mounting evidence of corruption involving Joe Biden. 

It is getting so bad that even the corrupt corporate media can't ignore this anymore! #Verdict https://t.co/9wuQoqsNCF",tedcruz,Ted Cruz,en,['Verdict'],267,165,676,13
2023-06-26 11:53:33+00:00,1673298450664833024,"Bombshell: Did Merrick Garland Commit Perjury &amp; Obstruction of Justice? 

Tune in now to the latest episode of #Verdict wherever you get your podcasts!  https://t.co/9wuQoqsNCF https://t.co/YDy6F11qht",tedcruz,Ted Cruz,en,['Verdict'],731,351,1628,39
2023-06-26 02:38:15+00:00,1673158702809989120,"After the horrible battery fire this week, we stood on the LES to announce a critical infusion of $25M in federal funding for safe charging infrastructure in NYCHA developments across NYC. 

This money will save lives and protect New Yorkers.

https://t.co/jeJ18STYxT",SenSchumer,Chuck Schumer,en,,135,88,413,10
2023-06-26 01:33:00+00:00,1673142285033422848,"Happy Pride, everybody!

I’m so proud to march today in the first #NYCPride since we passed the Respect for Marriage Act into law.

And we are going to keep working to pass the Equality Act for the rights of LGBTQ+ New Yorkers and LGBTQ+ Americans across this country. https://t.co/mL0bwmtab3",SenSchumer,Chuck Schumer,en,['NYCPride'],644,260,2175,37
2023-06-26 00:49:14+00:00,1673131271055179777,"We had a great Town Hall in Holyoke today. We talked about canceling student debt, making sure everyone can get the health care they need (including mental health services and reproductive care), and pushing back against hate to protect LGBTQ+ rights. https://t.co/AD2gRJz2mw",ewarren,Elizabeth Warren,en,,252,208,1872,15
