DateTime,TweetId,Text,Username,Displayname,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-26 23:11:40+00:00,1673469104571707400,"Am worth more than that (as the son of a penniless immigrant), but I gladly took a 90% pay cut to fight every day for 30 million Texans. 

Why does @StephenKing ignore EVERY WORD I said about the people hurt by the #BidenBorderCrisis ?

Because rich Hollywood liberals simply don’t give a damn about the people their policies hurt.",tedcruz,Ted Cruz,en,['BidenBorderCrisis'],1570,1417,10355,95
2023-06-26 23:05:33+00:00,1673467563399958530,"Sadly, the radical left routinely engages in excitement to violence. 

But trying to teach it to young kids, that’s a new low for them….",tedcruz,Ted Cruz,en,,563,652,2217,38
2023-06-26 23:03:05+00:00,1673466945386033152,"The ⁦@HoustonChron⁩ slavishly reprints the dishonest ⁦@PolitiFact⁩ partisan hit piece. They should be ashamed.

Here’s my earlier response, which focuses on, you know, actual FACTS:

https://t.co/3Qmc8RPvh1 https://t.co/Bui8BKrx0a",tedcruz,Ted Cruz,en,,92,43,270,5
2023-06-26 22:09:53+00:00,1673453556949557248,"If Merrick Garland lied when he said there was no political interference from the DOJ in the investigation of Hunter Biden, he committed a criminal offense with serious jail time. 

I'm calling for a special counsel—not a Garland henchman—to investigate. https://t.co/KTBKERAaGi",tedcruz,Ted Cruz,en,,398,354,1572,11
2023-06-26 20:22:24+00:00,1673426506469523456,"I’ve repeatedly said if the allegations are false, Joe Biden could clear this up by being transparent &amp; sharing the truth with the American people.

He’s instead had his administration &amp; the DOJ completely stonewall at every turn.",tedcruz,Ted Cruz,en,,840,898,3656,42
2023-06-26 18:39:33+00:00,1673400621603364868,Cruz calls for special counsel to probe AG Garland while House GOP threatens impeachment inquiry | Washington Times https://t.co/PO89jANywu,tedcruz,Ted Cruz,en,,523,222,1464,25
2023-06-26 18:25:17+00:00,1673397034110394369,"Multi-millionaire Leftist @StephenKing sits in his mansion in Maine and laughs at the kids being abused & the women being sexually assaulted on our Southern border. 

He doesn’t give a damn about their suffering—or about the 853 migrants who died last year or the 100k Americans who died of drug overdoses. 

Nope. What does he want to talk about? Cancun. 🤦‍♂️",tedcruz,Ted Cruz,en,,4922,2320,13201,385
2023-06-26 18:20:01+00:00,1673395708198526977,"🚨🚨Important:  

Cruz points out Biden admin is now officially boycotting Israel - American Thinker https://t.co/Xdyqe0N62r",tedcruz,Ted Cruz,en,,151,178,443,14
2023-06-26 17:13:25+00:00,1673378948800192513,"At this point, the evidence that Merrick Garland personally committed multiple felonies is growing. 

The chances that the DOJ will fairly investigate evidence of his obstruction of justice &amp; perjury are zero.

More on the latest episode of #Verdict! https://t.co/KTBKERAIvQ https://t.co/6Cnzh1jw74",tedcruz,Ted Cruz,en,['Verdict'],542,425,1402,32
2023-06-26 16:25:13+00:00,1673366816696029184,👀,tedcruz,Ted Cruz,art,,55,50,369,1
2023-06-26 15:12:06+00:00,1673348416137580544,"Welcome news from our colleagues in the House. 

As I discuss on the latest episode of #Verdict, there is serious evidence that Merrick Garland lied to me, under oath, when I questioned him about his role in obstructing the Hunter Biden probe. https://t.co/9wuQoqsNCF",tedcruz,Ted Cruz,en,['Verdict'],339,331,1541,22
2023-06-26 14:12:40+00:00,1673333461447221249,"The Biden administration hoped that their lapdogs in the media would continue to hide the mounting evidence of corruption involving Joe Biden. 

It is getting so bad that even the corrupt corporate media can't ignore this anymore! #Verdict https://t.co/9wuQoqsNCF",tedcruz,Ted Cruz,en,['Verdict'],267,165,676,13
2023-06-26 11:53:33+00:00,1673298450664833024,"Bombshell: Did Merrick Garland Commit Perjury &amp; Obstruction of Justice? 

Tune in now to the latest episode of #Verdict wherever you get your podcasts!  https://t.co/9wuQoqsNCF https://t.co/YDy6F11qht",tedcruz,Ted Cruz,en,['Verdict'],731,351,1628,39
2023-06-26 00:16:36+00:00,1673123056326156289,"You’re not going to want to miss tomorrow’s episode of #Verdict.

We do a deep dive on the mounting evidence of Joe Biden’s corruption &amp; Merrick Garland’s stonewalling. 

Be sure to download &amp; listen wherever you get your podcasts! https://t.co/9KT8eY8pOF",tedcruz,Ted Cruz,en,['Verdict'],523,289,1399,22
2023-06-25 20:58:49+00:00,1673073282130620419,"3/x The Biden administration defends funding scientific research in Wuhan with the Chinese Communist Party, but they’re discriminating against and banning cooperation with Jews based on where they live.",tedcruz,Ted Cruz,en,,19,99,663,0
2023-06-25 20:58:49+00:00,1673073283477000195,"4/x As I said earlier, I will do everything possible to reverse this decision and prohibit such antisemitic discrimination by the U.S. government in the future.",tedcruz,Ted Cruz,en,,51,75,711,3
2023-06-25 20:58:48+00:00,1673073280729722886,"2/x This new boycott of Israeli Jews is yet another example. The State Department is telling the entire U.S. government not to cooperate with Jews in Judea and Samaria. And, of course, it was sent to Congress in secret and only revealed because reporters found out.",tedcruz,Ted Cruz,en,,19,80,603,0
2023-06-25 20:58:43+00:00,1673073258621464579,"1/x Joe Biden and Biden administration officials are pathologically obsessed with undermining Israel. Since day one of their administration, they have launched campaigns against our Israeli allies that are granular, whole of government, and done in secret.",tedcruz,Ted Cruz,en,,445,457,2798,46
2023-06-25 20:03:11+00:00,1673059282743357442,"If you wanted to eliminate women's sports, you'd embrace the radical Democratic agenda of saying, ""Let biological males compete against women.""

You would see women's sports disappear. #Verdict https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,['Verdict'],175,123,679,11
2023-06-25 18:05:40+00:00,1673029708047319044,"Sadly predictable but still absolutely outrageous. 

This is brazen, explicit, obsessive discrimination against Israeli Jews based on where they live and work. 

I will do everything possible to reverse this decision & prohibit such antisemitic discrimination by the U.S. government in the future.",tedcruz,Ted Cruz,en,,130,183,836,13
2023-06-24 23:39:19+00:00,1672751284456239105,"If Merrick Garland really issued an order prohibiting further investigation into Hunter Biden's business dealings as the IRS whistleblower alleges, then I think there's real evidence that he's guilty of obstruction of justice.
https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,,1131,1226,4716,71
2023-06-24 18:50:50+00:00,1672678686091358209,"It's really valuable for girls to be able to compete &amp; have the benefits of sports. 

I think many girls would be thoroughly discouraged if they had to play sports against boys that were larger &amp; stronger. #Verdict

https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,['Verdict'],259,77,640,17
2023-06-24 15:33:51+00:00,1672629113033486336,"The IRS whistleblowers' allegations are as close to direct evidence of bribery &amp; extortion as I've ever seen.

This WhatsApp looks like evidence of Joe Biden abusing his power to enrich his son—and assuming 10% for the big guy—also himself. 
https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,,511,240,1037,24
2023-06-24 12:36:09+00:00,1672584394962337794,"One year ago today, millions of Americans who value the sanctity of life rejoiced after the Supreme Court rightfully returned the power to make abortion laws to the states. 

Tens of thousands of precious lives have been saved as a result of this historic decision—a number that will continue to grow exponentially in the years to come. 

I am forever grateful for the passion & dedication of the countless advocates who fought for decades to protect the lives of the unborn.",tedcruz,Ted Cruz,en,,1245,335,3019,72
2023-06-24 00:56:18+00:00,1672408270676414465,"If there were a single Democrat who gave a damn about the rule of law, we would have a hearing right now with Merrick Garland in front of the Senate Judiciary Committee under oath, asking about the allegations against Hunter &amp; Joe Biden. #Verdict https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,['Verdict'],772,512,2202,38
2023-06-23 22:07:51+00:00,1672365878480969737,"The current delusion of the left is that they've embraced an ideology that says there's no difference between women &amp; men. 

Don't miss @benfergusonshow &amp; I discuss the fight to protect women's sports on the latest episode of #Verdict! 
https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,['Verdict'],145,52,324,8
2023-06-23 20:39:03+00:00,1672343534240772097,"At this point, my level of trust in what the Biden administration says is abysmally low. 

They've demonstrated over &amp; over again that they're willing to say things that are false. 

Arm yourself with the facts on the latest episode of #Verdict! https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,['Verdict'],280,69,494,6
