DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-05-29 12:54:57+00:00,1663167042323636225,"On Memorial Day, remembering those who are not here, but who gave all so that we might be here. https://t.co/SfbLNgrFoS",BillClinton,en,,578,465,3383,31
2023-05-26 14:07:43+00:00,1662098188445130755,"Moved by this story from @AshleyJudd and grateful for all the wisdom she shares on dealing with grief, as she reflects on the life of her mom Naomi.

Remember, if you or a loved one is in crisis there are options available to help you cope. Call or text 988 Suicide & Crisis Lifeline at 988 to connect with a crisis counselor 24/7.

https://t.co/Zcx6hCIv4p",BillClinton,en,,135,162,606,14
2023-05-24 22:18:49+00:00,1661497004252332034,My statement on the passing of Tina Turner. https://t.co/W4dextsssR,BillClinton,en,,574,1620,14872,66
2023-05-20 17:17:24+00:00,1659971598194032640,"Congratulations to the @ClintonSchool Class of 2023 on a landmark day on your journey as public service leaders.
Your service, compassion, and commitment to others are needed more than ever.

I look forward to the great work that each of you will do.",BillClinton,en,,198,118,868,14
2023-05-14 14:22:12+00:00,1657753182175645696,Happy Mother’s Day to Hillary and Chelsea. I’m so grateful for the two of you. I love you. https://t.co/a5NQTLUsAn,BillClinton,en,,1907,565,10301,76
2023-05-12 18:29:23+00:00,1657090611634135050,"Investing in the sequencing of the human genome has paid off exponentially in the last 20 years.  It shows what happens when we rely on science and good public policy to achieve big goals.  I’m excited to see the work continue! 🧬 

https://t.co/kvNWEgOVGY",BillClinton,en,,165,161,839,20
2023-05-06 15:29:49+00:00,1654871094480756736,"Congratulations to His Majesty King Charles III on the day of his #Coronation, with best wishes for the Royal Family and all the people of the United Kingdom.",BillClinton,en,['Coronation'],324,234,2540,30
2023-05-01 00:37:24+00:00,1652834569446465536,"Great to sit down with my friend @HerbieHancock for International Jazz Day to discuss the power of jazz, and how music can help people reach across divides and find common ground.
https://t.co/YR0KCzUsOy",BillClinton,en,,225,236,1150,13
2023-04-25 19:21:35+00:00,1650943151945728001,"Harry Belafonte spent 96 years breaking down barriers, bridging divides, and standing up for what he believed. His art and activism changed America and the world forever. I’ll always be honored to have known him. https://t.co/xQuOhdk2MH",BillClinton,en,,326,1139,7990,33
2023-04-22 17:00:20+00:00,1649820443384086528,"Protecting our planet is an investment in our shared future. This #EarthDay, let’s recommit to taking actions large and small that will preserve our one and only home. https://t.co/gHYrYeKmud",BillClinton,en,['EarthDay'],8739,1560,13774,764
2023-04-19 16:57:32+00:00,1648732573235814400,"Today I’m thinking of all those who lost their lives in Oklahoma City twenty-eight years ago, and hoping for their loved ones’ continued healing. We will never forget you. https://t.co/e3TmAZe9Pw",BillClinton,en,,304,282,2041,27
2023-04-18 15:43:44+00:00,1648351613071892481,"The Good Friday Agreement was reached by courageous leaders who made compromises and sacrifices, and through the determination of the people of Northern Ireland who wanted to build a future without violence for their children and grandchildren. Let me explain:
https://t.co/4pSlMK1IPP",BillClinton,en,,252,221,983,23
2023-04-11 03:18:41+00:00,1645627402742116352,"Today, we honor 25 years of the Good Friday Agreement — a peace process driven by the people of Northern Ireland, who were determined that the conflict must end.",BillClinton,en,,166,249,1470,22
2023-04-09 15:59:28+00:00,1645094083579334657,"After 25 years of peace, the people of Northern Ireland have much to celebrate. I hope this moment of shared memory will allow them to continue the work and inspire others to find their own way forward. 

My full reflection in @washingtonpost: https://t.co/4Htgv05mLW",BillClinton,en,,144,238,1364,16
2023-04-04 23:02:12+00:00,1643388526975766529,"Today we welcome our friends in Finland with open arms as they become the 31st and newest member of NATO. The inclusion of Finland promises to strengthen NATO and ensures the continued success of the world’s most effective alliance.

 https://t.co/hFMjDbBzz8",BillClinton,en,,381,418,3249,25
2023-03-30 16:53:05+00:00,1641483698917847056,This is great news -- Narcan is a simple and proven way to reverse a potentially fatal overdose. Making it available over the counter will help save lives.,BillClinton,en,,255,157,926,21
2023-03-23 16:31:59+00:00,1638941671868997639,"Congratulations to my friend @dawnstaley on being named @USBWA Coach of the Year!  Yet again your leadership and determination, both on and off the court, serves as a model to us all.

https://t.co/q8HdxkYXek",BillClinton,en,,123,102,596,14
2023-03-20 22:50:56+00:00,1637949876733370368,"As Myrlie Evers celebrates her 90th birthday, I’m giving thanks for her lifetime of good work, her example, and her friendship.",BillClinton,en,,108,136,842,5
2023-03-18 23:46:38+00:00,1637239117334425601,🐗 Woo Pig Sooie! #MarchMadness,BillClinton,nl,['MarchMadness'],234,560,3940,94
2023-03-15 01:03:11+00:00,1635808830427746305,"Pat Schroeder was an incredibly effective lawmaker whose decades of service made America better, fairer, and stronger. I’ll always be grateful for her essential support in passing the Family and Medical Leave Act. https://t.co/0KRQl0cJSK",BillClinton,en,,156,216,1391,16
2023-03-08 15:50:37+00:00,1633495442708111360,"I condemn this shameful sentence against Nobel Peace laureate Ales Bialiatsk. It is a transparent, politically motivated attempt to crack down on protests and suppress human rights and democracy. https://t.co/x3t7iUHjlm",BillClinton,en,,313,291,1406,18
2023-03-05 22:28:51+00:00,1632508499128188931,Thrilled to have spent the weekend in Nashville with an incredible group of bright young leaders. Thanks to @VanderbiltU for bringing us all together and for the entire #CGIU2023 community for keeping me inspired and hopeful for our future!,BillClinton,en,['CGIU2023'],212,146,1055,11
2023-03-05 17:56:35+00:00,1632439981729026053,Judy Heumann spent a lifetime breaking down barriers and helping others reach their full potential. I’ll always be grateful for her outstanding work in my Administration creating opportunities for all of America’s children. Hillary and I will miss her very much. https://t.co/u313vQTZF2,BillClinton,en,,100,188,1142,13
2023-03-04 18:07:21+00:00,1632080303375130624,"Public service has guided the course of my life. Now, my faith in future generations answering the call to serve has never been stronger. #CGIU2023 https://t.co/Dt7q8XLubj",BillClinton,en,['CGIU2023'],300,226,1691,25
2023-02-27 22:16:33+00:00,1630331078337495040,"We founded @CGIU on the belief that no one is ever too young to make a difference. Each year, this inspiring community of student leaders proves us right.
 
I look forward to meeting the next class this weekend at #CGIU2023.",BillClinton,en,['CGIU2023'],128,123,533,8
