DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-06 14:34:45+00:00,1666091259184951298,"The next big risk looming over our banks? The commercial real estate market.
We have to make sure banks and lenders play their part in hedging an impending crisis. I'll be watching closely.
https://t.co/db0jJfUCRI",ewarren,en,,114,213,1057,13
2023-06-05 20:34:03+00:00,1665819294322798592,"No billionaire is above the law, but Elon Musk sure loves to act like he is. Since taking over Twitter, he’s run the company with little regard for consumer privacy and safety, potentially violating legal obligations.

I'm demanding answers.
https://t.co/YvXTLY11Al",ewarren,en,,2521,673,3833,119
2023-06-05 13:59:47+00:00,1665720073024053248,"As Republican legislators across the country pass new anti-LGBTQ laws, they stoke fear, confusion and hateful sentiment along the way. We have to stay vigilant in this fight—and remember that the fight for full equality is far from over. https://t.co/UYXPOaGJpx",ewarren,en,,639,298,1929,27
2023-06-03 16:26:08+00:00,1665032128403329026,"Did you know that rogue nations, oligarchs, and drug lords use crypto to launder billions in stolen funds, evade sanctions, and finance terrorism? It’s a big problem, but one we can fix.

I have a bill that will close loopholes and apply common-sense rules to the industry.",ewarren,en,,787,452,2206,56
2023-06-02 19:36:01+00:00,1664717523755970560,"You should know: Senate Republicans just fought to block President Biden’s plan to deliver student debt relief to 43 million borrowers. You better believe I voted against it.

I’m going to keep fighting for this.",ewarren,en,,3675,681,5349,144
2023-06-01 22:57:24+00:00,1664405815896203265,"Time and time again, Congressional Republicans show us that they’d much rather help giant corporations than working people. I’m done being surprised, but I’m not done fighting to stop them.",ewarren,en,,342,260,1636,18
2023-06-01 20:40:51+00:00,1664371454568284164,"Eh, no thanks.",ewarren,en,,306,325,5187,17
2023-06-01 18:13:28+00:00,1664334361049673730,"#Pride month is a celebration of hard-won progress for LGBTQ+ rights. It's also a chance to renew our commitment to fight like hell for equality.

With hateful new laws passing across the country, we must fight until everyone can live proudly &amp; safely as themselves—without fear.",ewarren,en,['Pride'],210,266,2706,6
2023-06-01 14:02:47+00:00,1664271276377243651,"Congressional Republicans believe in an America that says ‘I’ve got mine, the rest of you are on your own.’ But this doesn’t apply to their rich buddies. They push tax breaks for billionaires while slashing programs that help working people.",ewarren,en,,762,404,1921,30
2023-05-31 16:49:55+00:00,1663950948245307398,I’m keeping up the fight to push back against these new and baseless threats to abortion medication. https://t.co/zsbHIskk14,ewarren,en,,200,210,1407,9
2023-05-31 13:43:55+00:00,1663904142023172098,I’m asking the @USChamber why they’re cheerleading Republicans’ proposed spending cuts to critical programs — while also supporting proposed tax cuts for wealthy corporations. This is hypocritical.,ewarren,en,,161,257,942,8
2023-05-30 22:22:07+00:00,1663672159493844996,"Right now, House Republicans are demanding we pinch pennies on programs like food assistance &amp; health care for families.

Next month, they want to roll out a plan that hands trillions in tax cuts to big corporations &amp; the wealthy. This is not fiscal responsibility. It’s cruelty.",ewarren,en,,2295,1483,6220,104
2023-05-30 14:42:07+00:00,1663556398163308551,"Price gouging is a problem across our economy, and the defense industry is no exception. I’ve got a bill to fight back against these rip-offs with basic rules of the road.",ewarren,en,,356,335,2019,16
2023-05-29 14:33:54+00:00,1663191943096987653,"My three big brothers all served in the military. My mother and I would wait by the mailbox to hear from them—days with letters were extra sunny. They made it home safely, but many service members do not. We honor those service members’ sacrifices on #MemorialDay and every day.",ewarren,en,['MemorialDay'],357,305,3060,12
2023-05-28 19:25:02+00:00,1662902819513331719,I’m staying in the fight for federal funding to replace the Cape Cod Bridges. https://t.co/kYu4gN3WlX,ewarren,en,,291,212,1749,12
2023-05-26 22:15:50+00:00,1662221028284854272,"During #AAPIHeritageMonth, I’m glad to work with my colleagues to recognize AAPI leaders like Caroline Chang, who fought hard to make life better for people across the Commonwealth and the country. Let’s get this done. https://t.co/BYyOf6yghV",ewarren,en,['AAPIHeritageMonth'],27,47,323,1
2023-05-26 15:54:41+00:00,1662125110529073157,"A billionaire shouldn’t be able to pay less in taxes than a Boston public school teacher. (Yes, Jeff Bezos, I’m looking at you.)",ewarren,en,,7472,1792,12353,346
2023-05-26 12:11:33+00:00,1662068957669408769,"Do we want a government that works great for student loan servicing companies, or do we want a government that looks out for people whose families can’t write big tuition checks? House Republicans have made their priorities clear.
https://t.co/bqiKl1oQKL",ewarren,en,,2146,827,3847,123
2023-05-25 22:05:46+00:00,1661856106409340935,"We’ve got a chance to strengthen the Federal Reserve’s oversight and accountability, eliminate conflicts of interest, and make this institution work better for the American people. And we must seize it. It’s time to end the Fed’s culture of corruption.
https://t.co/ObxDJDOWH3",ewarren,en,,374,447,2101,26
2023-05-25 19:58:39+00:00,1661824117375377414,But no billionaire would have to pitch in another penny. Shameful. I’ll keep fighting back. https://t.co/ZAnfvJzcMV,ewarren,en,,334,403,1624,15
2023-05-25 18:23:58+00:00,1661800290113159168,George Floyd should still be alive. I’m praying for his loved ones as they carry the weight of today’s anniversary of his murder. And I’ll continue working for structural change to dismantle systemic racism and cement the unshakeable truth that Black Lives Matter.,ewarren,en,,1354,199,1591,57
