DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-06 17:10:20+00:00,1666130413419364358,Ted Cruz Says ‘Angry’ Merrick Garland Wants Trump Indicted | Daily Wire https://t.co/jBaDKDviHY,tedcruz,en,,312,212,939,24
2023-06-06 16:31:26+00:00,1666120626099175425,"Cruz: Merrick Garland the ‘Most Partisan,’ ‘Most Political’ Attorney General in U.S. History | Breitbart News https://t.co/u8PUdYjvqU",tedcruz,en,,313,247,1113,15
2023-06-06 14:43:38+00:00,1666093496787406848,"The dirty little secret is most Republican officeholders are terrified to talk about the radical left's transgender ideology.  

It's simple—we should protect our children. #Verdict https://t.co/dPhJ9fOgmj",tedcruz,en,['Verdict'],491,138,650,46
2023-06-06 14:26:49+00:00,1666089264680140800,Cruz predicts Garland will indict Trump out of spite: 'Angry that he wasn't confirmed to the Supreme Court' | Washington Examiner  https://t.co/5Nkz7eHMxa,tedcruz,en,,1278,932,3534,96
2023-06-06 13:34:24+00:00,1666076070838251522,"This #DDay, we reflect on the heroism displayed by the tens of thousands of allied forces who landed on the beaches of Normandy. 

We must never forget their efforts &amp; sacrifices.",tedcruz,en,['DDay'],119,146,952,7
2023-06-06 13:20:02+00:00,1666072455956275200,"Merrick Garland has corrupted the Department of Justice and effectively turned it into an arm of the Democratic National Committee. 

The FBI and DOJ want to protect and insulate Joe Biden and the Biden family's corruption. https://t.co/OEuqqubsYP",tedcruz,en,,778,435,1564,45
2023-06-06 01:44:23+00:00,1665897389088182274,I have a message for Chris Wray—the FBI works for the American people. The American people have a right to have accountability and to know if there is evidence that President Biden was personally involved in bribery from a foreign nation. https://t.co/rsRACJddMj,tedcruz,en,,1738,1348,5067,116
2023-06-06 00:37:02+00:00,1665880440606171136,"When it comes to Congress, Chris Wray has a very limited view of accountability. He has a view that the FBI is above reproach and how dare anyone ask what the hell they're doing. 

New episode of #Verdict out now wherever you get your podcasts! https://t.co/zhqceE67Rp https://t.co/aBzjj8XksW",tedcruz,en,['Verdict'],238,281,1227,13
2023-06-06 00:01:01+00:00,1665871378346639360,"The FBI &amp; DOJ have never been held in lower regard than they are today. That's not good for America. 

We want a strong, vibrant, &amp; effective FBI &amp; a DOJ that is targeting bad guys &amp; enforcing the law—not targeting the enemies of the White House. https://t.co/zhqceE5A1R",tedcruz,en,,538,428,2307,37
2023-06-05 20:56:18+00:00,1665824890409156608,"My view is simple—we should protect children. No child, no eight, nine, or ten-year-old, has the emotional maturity to make a decision that is life-altering. 

It is abhorrent &amp; wrong for a bunch of sadistic Marxists to sterilize &amp; mutilate our children. https://t.co/VxzqoskZlP",tedcruz,en,,1132,903,4989,88
2023-06-05 19:04:25+00:00,1665796733874450437,"The FBI is, again, telling the American people, “We're the FBI, and we can do whatever the hell we want.”

That is profoundly harmful to the rule of law and the fair and impartial administration of justice.",tedcruz,en,,1364,1504,5794,110
2023-06-05 17:21:52+00:00,1665770927089393664,"I've told Chris Wray when he protects the hardcore partisans who have corrupted the FBI—he is hurting the institution. 

If he cared about the FBI, he wouldn't protect them—he would hold them accountable and clean house.

That's what needs to happen. https://t.co/zhqceE5A1R",tedcruz,en,,603,496,2660,45
2023-06-05 16:59:48+00:00,1665765375139618817,Viva Cuba Libre! 🇨🇺,tedcruz,es,,58,29,204,0
2023-06-05 14:55:06+00:00,1665733993545842689,"The facts are simple—an informant told the FBI they had evidence that Joe Biden was involved in a $5 million bribery scheme involving a foreign country. 

Today, top House Oversight leaders will see the documents. More on the latest episode of #Verdict! 

https://t.co/zhqceE5A1R",tedcruz,en,['Verdict'],854,737,3199,47
2023-06-05 13:15:02+00:00,1665708809304547328,"1/x Pastor, I don’t know you, but I honor your ministry.

Your biblical analysis is in error. Jesus told us to “render to Caesar the things that are Caesar’s, and to God the things that are God’s.”

We are talking the laws of man, not the Old Testament laws of God.

Do you really believe that the US govt should execute every person who is gay??",tedcruz,en,,848,225,3286,652
2023-06-05 12:32:36+00:00,1665698130921226241,"Again??

Non-binary ex-Biden official Sam Brinton arrested for yet another baggage theft | Fox News https://t.co/ROpuRy1nre",tedcruz,en,,728,392,2340,48
2023-06-05 12:30:58+00:00,1665697721204760576,this is the problem,tedcruz,en,,2305,3258,12763,247
2023-06-05 11:34:37+00:00,1665683539285753857,"FBI Turns Tail on Biden Corruption &amp; NYT Blames Kids' Mutilation on Conservatives 

New episode of #Verdict with @benfergusonshow out now!

https://t.co/VxzqoskZlP https://t.co/2wDXTmke9Y",tedcruz,en,['Verdict'],234,228,943,12
2023-06-05 02:14:35+00:00,1665542601720692736,"Get a sneak peek of the latest episode of #Verdict. 

Tune in tomorrow morning wherever you get your podcasts! https://t.co/8AYl2gqfj0 https://t.co/pRCfrJmizU",tedcruz,en,['Verdict'],134,87,527,6
2023-06-04 21:33:11+00:00,1665471788019589120,😳  My father definitely didn’t kill Jimmy Hoffa…. https://t.co/OEPtJ81ap4,tedcruz,en,,150,67,501,7
2023-06-04 20:27:05+00:00,1665455153581809664,"1/x The Chinese Communist Party cannot tolerate any dissent, because the ongoing calls for freedom from dissidents pose a daily threat to the CCP's totalitarianism and brutality. https://t.co/JpJxvkxtWV",tedcruz,en,,112,110,537,4
2023-06-04 17:37:24+00:00,1665412451263807489,Leftist’s soft-on-crime policies are killing the American dream.,tedcruz,en,,515,289,1638,24
2023-06-04 15:14:01+00:00,1665376366978801666,"The corporate media is profoundly corrupt. They view their mission as propagandists for the left wing of the Democrat Party. 

They will not cover the overwhelming evidence of corruption within the Biden family. https://t.co/dvtMurpVow",tedcruz,en,,2028,580,2560,104
